,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92
QDH02,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,1.296296296,0,0,0.222222222,2.074074074,0,0,0,0,0,0.111111111,0,0,0,0,0,0.148148148
QDH03,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,0,0.333333333,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,1.444444444,0,0,0.37037037,6.222222222,0,0.037037037,0,0.222222222,0,0.481481481,0,0,0.074074074,0,0,0
QDH04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0.185185185,0,0,1.444444444,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0.962962963,0,0,0.703703704,4.148148148,0,1.777777778,0,0,0,0.518518519,0,0,0.62962963,0,0,0
QDH05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0.148148148,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.518518519,0,0,0.518518519,8.185185185,0,3,0,0.222222222,0.037037037,0.888888889,0,0,0,0,0,0.111111111
QDH06,0,0,0,0,0,0,0.111111111,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0,0,0.037037037,0,0,3.037037037,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0.555555556,9.37037037,0,0,0,0.925925926,0,1.148148148,0.074074074,0,1.62962963,0,0,0
QDH07,0,0,0,0,0,0,0.777777778,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,2.481481481,0,0,0,0,0,0,1.185185185,0,0,0.074074074,0,0.111111111,0,0,0.777777778,0,0,0.111111111,3.037037037,0,0,0,0,0,0,0,0,0.740740741,0,0,4.740740741
QDH08,0,0,0.037037037,0,0,0,0.407407407,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62962963,0,0,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0.333333333,0,0,0.074074074,0,0,0,0,7,0,0,0.111111111,9.259259259,0,0,0,0.074074074,0,1.296296296,0,0,0.962962963,0,0,0
QDH09,0,0,4.888888889,0,0,16.88888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.77777778,0,0,0,0,0,0,0,0,4.444444444,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,4.666666667,0,0,2.222222222,9.777777778,0,0,0,0,1.777777778,0.888888889,0,0,13.11111111,0,0,0
HJ01,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0.740740741,0,0,0,0.074074074,0,0,0,0,0,0,0,0.074074074,0.074074074,0,0,0,0,0,0,0,3.111111111,0,0,0,0,0,0.148148148,0,0,0.666666667,0,0,0,0,0,2.074074074,0,0,0,4.888888889,0,0,0,0,0,0.296296296,0,0,0,0,0,2.148148148
HJ02,0,0,0,0,0,0,0.148148148,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0.074074074,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,2.037037037,0,0,0,0.407407407,0,0,0,0,0,0,0,0.111111111,0.185185185,0,0,0,0,0.222222222,0,0,2.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.444444444,0,0,0,8.814814815,0,0,0,0,0,0.333333333,0,0,0,0,0,5.555555556
