,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45,Z46,Z47,Z48,Z49,Z50,Z51,Z52,Z53,Z54,Z55,Z56,Z57,Z58,Z59,Z60,Z61,Z62,Z63,Z64,Z65,Z66,Z67,Z68,Z69,Z70,Z71,Z72,Z73,Z74,Z75,Z76,Z77,Z78,Z79,Z80,Z81,Z82,Z83,Z84,Z85,Z86,Z87,Z88,Z89,Z90,Z91,Z92
DZ02,0,1.037037037,0.148148148,0,0,0,0.074074074,0.518518519,0.814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0.148148148,0,0,0,0,0,0,0,1.851851852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.44444444,0,0,17.03703704,0.666666667,0,0,0,0,0.962962963,0,0,0.148148148,0,0,7.481481481
DZ03,0,1.185185185,0.074074074,0,0,0,0.518518519,0.296296296,1.185185185,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0.296296296,0,0,0,0,0,0,0,3.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37037037,0,0,18.14814815,0.296296296,0,0,0,0,0.592592593,0,0,0,0,0,26.66666667
DZ04,0,0.592592593,0.222222222,0,0,0,0.592592593,0.148148148,1.925925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0,0,0.740740741,0,0,0,0,0,0,0,2.962962963,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,4.444444444,0,0,18,0.148148148,0,0,0,0.296296296,0.37037037,0,0,0,0,0,13.48148148
DZ05,0,1.037037037,0.074074074,0,0,0,1.481481481,0,2.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0.222222222,0,0.148148148,0,0,0,0,0,4.592592593,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,4.814814815,0,0,11.85185185,0,0,0,0,0,1.925925926,0,0,0.740740741,0,0,24.74074074
SM01,0,0,0,0,0,0,0.074074074,9.185185185,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.037037037,0,0.37037037,0,0,0,0,0,0,0.740740741,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0.296296296,0,0,15.48148148,0,0.148148148,0,0,0,0.444444444,0,0,0,0,0,4.592592593
SM02,0,0.444444444,0.592592593,0,0,0,0.444444444,8.148148148,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,6.666666667,0.148148148,0.296296296,0,0,0,0,0,0,3.555555556,0,0,0,0,0,0,3.111111111,0,0,0,0,0,0,0,0,6.962962963,0,0,33.92592593,0,2.37037037,0,0,0,1.037037037,0,0,4.148148148,0,0,11.55555556
SM03,0,0,0.148148148,0,0,0,0.148148148,11.25925926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,5.777777778,0.444444444,0,0,0,0,0,0,0,5.481481481,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,8.296296296,0,0,33.33333333,0,2.814814815,0,0,0,1.481481481,0,0,0,0,0,12.2962963
SM04,0,0.296296296,2.222222222,0,0.148148148,0,0.888888889,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0.444444444,0,0,0,0,0,0,0,16.74074074,0.296296296,0,0,0,0,0,0,0,3.703703704,0,0,0,0,0,0,2.074074074,0,0,0,0,0,0,0,0,13.48148148,0,0,33.18518519,0,1.333333333,0,0,0,1.777777778,0,0,0,0,0,8.888888889
SM05,0,0,0,0,0,0,0.111111111,2.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,2.222222222,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,4.555555556,0,0,18.77777778,0,0.111111111,0,0,0,0.777777778,0,0,0,0,0,2.444444444
SM06,0,0.296296296,0,0,0,0,0.740740741,2.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.07407407,0.444444444,0,0,0,0,0,0,0,2.814814815,0,0,0,0,0,0,1.185185185,0,0,0,0,0,0,0,0,10.81481481,0,0,51.11111111,0,0.740740741,0,0,0,0.888888889,0,0,0,0,0,5.185185185
TX01,0,0.148148148,1.777777778,0,0,0,1.037037037,0.296296296,0.740740741,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,4.148148148,2.222222222,0,0.148148148,0,0,0,0,0,0,0,0,0,0,4.740740741,17.33333333,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,7.555555556,0,0,80.88888889,0,0.592592593,0,0,0,0.592592593,0,0,0.296296296,0,0,8.148148148
TX02,0,0.222222222,0.666666667,0,0,0,0.444444444,0.222222222,0.444444444,0,2.222222222,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,13.33333333,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,7.333333333,14.44444444,0,0,0,0,0,0,0,1.111111111,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,7.111111111,0,0,52,0,0.888888889,0,0,0,0.666666667,0,0,0,0,0,7.111111111
TX03,0,0.148148148,0.296296296,0,0,0,1.925925926,0.296296296,0.148148148,0,0.888888889,0,0,0,0,0,0,0,0,0,0.148148148,0.148148148,0,0,0,0,0,0,0,0,0,2.222222222,0,0,0,0,0,1.037037037,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,1.185185185,4.740740741,0,0,0,0,0,0,0,2.222222222,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0.888888889,0,0,6.962962963,0,0,95.40740741,0,0.888888889,0,0,0,0.592592593,0,0,0,0,0,7.851851852
XFJ01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0.074074074,0,0,0,0,0,0,0,2.481481481,0,0,0,0,0,0.148148148,0.111111111,0,1.148148148,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,2.814814815,0,0.222222222,5.62962963,0,0,0.111111111,3.148148148,0,0.407407407,0,0,0,0,4.259259259,0
XFJ02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,3.259259259,0.148148148,0,0,0,0,0.296296296,0,0.444444444,0.444444444,0,0,0.148148148,0,0,0.148148148,0.148148148,0,0,0,0,0,0,0,0,3.555555556,0,0,8.592592593,0,0,1.037037037,2.518518519,0,1.481481481,0,0,0,0,2.074074074,0
XFJ03,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,2.962962963,0,0,0.074074074,0,0,0,0,0,0.888888889,0,0,0,0,0.148148148,0,0,0,0,0,0,0.296296296,0,0,0,2.962962963,0,0,11.7037037,0,0,0,2.666666667,0.222222222,0.740740741,0,0,0,0,2.074074074,0
XFJ04,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,1.333333333,0,0,0.888888889,0.296296296,0,0.592592593,0,0,0.592592593,0,0,0.296296296,0,0.148148148,0,0,0,0,0,0,0,0,0,0,1.62962963,0,0,2.962962963,0,0,0,1.481481481,0.888888889,1.925925926,0,0,0,0,0.296296296,0
XFJ05,0,0,0,0,0,0,0.148148148,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,1.333333333,0,0,1.185185185,0,0,0.074074074,0,0,0,0,0,0,0,0,0.740740741,0,0,0,5.037037037,0.148148148,1.481481481,5.925925926,0,0,1.037037037,0.444444444,0.740740741,1.037037037,0,0,0.296296296,0,0.296296296,0
XFJ06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,1.777777778,1.185185185,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,2.222222222,0,0,14.07407407,0,0,1.481481481,1.333333333,0.888888889,2.074074074,0,0,0,0,4.444444444,0
LXH01,0,0,0,0,0.074074074,0,0,0,0.148148148,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,10.81481481,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,4.888888889,0,0,13.33333333,0,0,1.481481481,1.62962963,0,0,0,0,0.148148148,0,2.37037037,0
LXH02,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0.074074074,0,0,0,0,0,0,0,2.222222222,10.74074074,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,3.777777778,0,0,16.59259259,0,0,1.925925926,4.296296296,0,0,0,0,0,0,1.481481481,0
LXH03,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,1.259259259,3.888888889,0,0,0,0,0,0,0,0.259259259,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0.925925926,0,0,7.518518519,0,0,1.592592593,1.185185185,0,0,0,0,0,0,2.222222222,0
LXH04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0.148148148,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.703703704,6.296296296,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0.296296296,0,0,14.07407407,0,0,2.185185185,2.074074074,0,0,0,0,0,0,4.074074074,0
LXH05,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,1.703703704,4.740740741,0,0,0,0,0,0,0,0.62962963,0,0,0,0,0,0.555555556,0,0,0,0,0,0,0,0,0,0.592592593,0,0,15.48148148,0,0,3.740740741,0.888888889,0,0,0,0,0,0,1.62962963,0
LXH06,0,0,0,0,0,0,0,0,0.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333333,4.444444444,0,0,0,0,0,0,0,0.777777778,0,0,0,0,0,0.037037037,0,0,0,0,0,0,0,0,0,2.888888889,0,0,10.03703704,0,0,0.740740741,0.555555556,0,0,0,0,0,0,0.296296296,0
DSH01,0,0.148148148,0,0,0,0,0.148148148,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0.148148148,0,0,0,0.148148148,0,0,0,0,0,0,7.407407407,9.185185185,2.074074074,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0.148148148,0,0,0,0,0.148148148,0,0,0,0,6.222222222,0,0,7.111111111,0,0,0,0,4.740740741,0.592592593,0,0,0,0,4,0
DSH02,0,0.148148148,0,0,0,0,0.296296296,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0.296296296,0,0,0,0,0,0,7.407407407,11.85185185,0.888888889,0,0,0,0,0,0,0,0,0,0.592592593,0,0,0,0.296296296,0,0,0,0,0.444444444,0,0,0,0,14.66666667,0,0,10.07407407,0,0,0,0,1.925925926,0.296296296,0,0,0,0,6.666666667,0
DSH03,0,0.185185185,0,0,0,0,0.185185185,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,1.296296296,0,0,0,0,1.111111111,0,0,0,0,0,0,9.259259259,13.88888889,2.407407407,0,0,0,0,0,0,0,0,0,0.555555556,0,0,0,0.925925926,0,0,0,0,0.555555556,0,0,0,0,20.37037037,0,0,5.925925926,0,0,0,0,0,0.555555556,0,0,0,0.740740741,16.2962963,0
DSH04,0,0.740740741,0,0,0.148148148,0,0.148148148,0,0.148148148,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,0,1.925925926,0,0,0,0,0,0,0,0.444444444,0,0,0,0,1.185185185,0.148148148,0,0,0,1.777777778,0,0,0.296296296,0,0,0,5.925925926,23.55555556,3.555555556,0,0,0,0,0,0,0,0,0,1.62962963,0,0,0,0.592592593,0,0,0,0,0.148148148,0,0,0,0,13.48148148,0,0,12.59259259,0,0,0,0,0,6.518518519,0,0,0,1.777777778,4.296296296,0
DSH05,0,1.62962963,0.296296296,0,1.481481481,0,0.888888889,0,0.148148148,1.333333333,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0.444444444,0,0.148148148,0,0,0.444444444,0,0,0,0,0,0,2.962962963,3.703703704,1.333333333,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0.444444444,0,0,0,0,0.148148148,0,0,0,0,15.40740741,0,0,8.740740741,0,0,0,0,0.148148148,5.925925926,0,0,0,0.296296296,20.44444444,0
DJS01,0,6.666666667,0.222222222,0,0.222222222,0,0.444444444,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.555555556,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0.222222222,10.22222222,0,0,0,0,0,0,22.22222222,0,0,0,0,1.111111111,0.666666667,0,0,0,0,32.88888889,0
DJS02,0,11.2962963,0.185185185,0,0.185185185,0,0.185185185,0,0.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0.185185185,0,0,0,0,0,0.185185185,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0.555555556,0,0.185185185,0,0,0,0,0,0,2.037037037,4.259259259,0,0,0,0,0,0,22.03703704,0,0,0,0,0.185185185,0,0,0,0,0,16.85185185,0
DJS03,0,23.55555556,0.592592593,0,0.148148148,0,0.148148148,0,0.148148148,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,3.111111111,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0.296296296,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0.296296296,1.925925926,0,0,0,0,0,0,17.48148148,0,0,0,0,0.148148148,0,0,0,0.296296296,0,7.259259259,0
GZ01,0,0,0,0,0,0,0.296296296,0,1.62962963,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,1.037037037,0,0,0,0,0,0,0,24.14814815,0.888888889,8.148148148,0,0,0,0,0,0,2.518518519,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,2.666666667,0,0.592592593,15.11111111,0,0,0,0.888888889,1.62962963,4.444444444,0,0,0.444444444,0,2.962962963,0
GZ02,0,0,0,0,0,0,0.148148148,1.62962963,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,16.88888889,0,3.703703704,0,0,0.592592593,0,0,0,2.518518519,0,0,0,0,0,2.814814815,0.296296296,0,0,0,0,0,0,0,0,6.518518519,0,0.444444444,14.96296296,0,0,0,1.777777778,0.296296296,3.111111111,0,0,0.444444444,0,7.111111111,0
GZ03,0,0,0,0,0,0,0.148148148,4.296296296,1.185185185,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0.148148148,0,0,0,0,0,0,0.444444444,0.444444444,0,0,0,0,0,0,0,0,0,0,0,0,7.851851852,0.444444444,3.703703704,0,0,0,0,0,0,0.888888889,0,0,0,0,0,1.62962963,0,0,0,0,0,0.148148148,0,0,0,5.481481481,0,0.444444444,16.74074074,0,0,0,2.37037037,0.592592593,1.481481481,0,0,0,0,3.703703704,0
GZ04,0,0,0,0,0,0,0.148148148,4.148148148,1.925925926,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0.148148148,0,0,0,0.740740741,0,0,0,0,0,0,0,0,0,0,0,0.148148148,1.037037037,0,0,0,0,0.592592593,0,0,0,0,0,0,0,8.592592593,0.592592593,3.851851852,0,0,0,0,0,0,2.222222222,0,0,0,0,0,1.777777778,0.296296296,0,0,0,0,0,0,0,0,10.22222222,0,0.740740741,22.96296296,0,0,0,2.814814815,0.444444444,4,0,0,0,0,7.555555556,0
GZ05,0,0.444444444,0,0,0,0,1.777777778,10.66666667,2.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,1.037037037,0,0,0,0,0.148148148,0,0,0,0,0,0,0.148148148,0.444444444,0,0.148148148,0,0,0.148148148,0,0,0,0,0,0,0,17.18518519,4.888888889,3.703703704,0,0,0,0,0,0,4,0,0,0,0,0,4.740740741,0.148148148,0,0,0,0,0,0,0,0,13.03703704,0,0.444444444,24.88888889,0,0,0,6.222222222,1.62962963,3.111111111,0,0,0,0,12.59259259,0
GZ06,0,0.148148148,0,0,0,0,0.148148148,5.62962963,2.222222222,0,0,0,0,0,0,0,0.148148148,0.148148148,0,0,0,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,14.51851852,1.62962963,5.777777778,0,0,0,0,0,0,1.925925926,0,0,0,0,0,2.518518519,0,0,0,0,0,0,0,0,0,9.925925926,0,0.888888889,14.66666667,0,0,0,1.62962963,1.185185185,3.703703704,0,0,0,0,8,0
WSJ01,0,5.333333333,0,0,2.222222222,0,23.77777778,2.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.814814815,0,0.296296296,0,0,0.222222222,0,0,0.074074074,0,0,0,0,11.11111111,15.25925926,0,0,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,5.185185185,0,0,5.111111111,0,0,0,0.148148148,0,0.148148148,0,0,0,0,0,1.037037037
WSJ02,0,2.37037037,0,0,0.296296296,0,7.555555556,2.814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,2.666666667,0,0.148148148,0,0,0.148148148,0,0,0.296296296,0,0,0,0,29.92592593,23.85185185,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,1.037037037,0,0,5.333333333,0,0,0,0.296296296,0,0.444444444,0,0,0,0,0,1.925925926
WSJ03,0,2.222222222,0,0,0.296296296,0,1.481481481,3.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.444444444,0,0.148148148,0,0,0.148148148,0,0,0.148148148,0,0,0,0,41.77777778,21.62962963,0,0,0,0,0,0,0,0,0,1.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1.777777778,0,0,4.888888889,0,0,0,0.296296296,0,0.296296296,0,0,0,0,0,1.62962963
HCJ01,0,1.259259259,0,0,0.148148148,0,0.740740741,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.074074074,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,6.666666667,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,13.40740741,0,0,0,0,0,0.148148148,0,0,0,0,0,8.296296296
HCJ02,0,0.814814815,0,0,0.074074074,0,0.592592593,0.814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22222222,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,2.740740741,0,0,16.37037037,0,0,0,0,0,0.074074074,0,0,0,0,0,9.481481481
HCJ03,0,1.481481481,0,0,0.074074074,0,0.444444444,1.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592592593,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,48.14814815,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,4.592592593,0,0,22.22222222,0,0,0,0,0,0.222222222,0,0,0,0,0,8.888888889
HCJ04,0,1.481481481,0,0,0.444444444,0,1.037037037,0.592592593,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.740740741,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0.740740741,42.96296296,0,0,0,0,0,0,0,0,0,4.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,3.555555556,0,0,18.96296296,0,0,0,0,0,0,0,0,0,0,0,6.074074074
SK01,0,0,0,0,3.851851852,0.592592593,12.44444444,0.888888889,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,3.555555556,2.962962963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,1.777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.85185185,0,0,0,0,0,0,121.4814815,0,0,0,0,17.48148148,0.296296296,0,0,0,0,5.333333333,0,0,0,0,0,3.259259259
QSJ01,0,3.259259259,0.148148148,0,29.92592593,0,42.81481481,0,1.037037037,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592592593,0,0,6.814814815,0,0,0,0,0,0,0,0.740740741,0.296296296,0,0,0,0,0,0,0,17.03703704,0,0,0,0,0,0,11.7037037,0,0,0,0,0,0,0,0,0,0,0,18.07407407,0.148148148,0,0,0,0,0,0,0,14.81481481,0,0,28.74074074
QSJ02,0,5.037037037,0.296296296,0,88,0,197.6296296,0,4.148148148,0,0,0,0,0,0,0,0,0,0,0.888888889,0,0.296296296,0,0,0,21.03703704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592592593,0,0,14.22222222,0,0,0,0,0,0,0,4.740740741,0.888888889,0,0,0,0,0,0,0,20.44444444,0,0,0,0,0,0,22.51851852,0,0,0,0,0,0,0,0,0,0,0,18.96296296,0,0,0,0,0,0,0,0,13.62962963,0,0,18.66666667
QSJ03,0,4.740740741,0.296296296,0,124.4444444,0,241.1851852,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,11.55555556,0,0,0,0,0,0,0,1.777777778,0.592592593,0,0,0,0,0,0,0,16.88888889,0,0,0,0,0,0,15.11111111,0,0,0,0,0,0,0,0,0,0,0,8.296296296,0,0,0,0,0.296296296,0.296296296,0,0,2.666666667,0,0,11.85185185
NWL01,0,0.296296296,1.037037037,0.296296296,10.96296296,0,12,4.740740741,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,0,0,0.592592593,0,0.296296296,0,0,0.296296296,0,0,0.148148148,0,0,0,0,15.40740741,22.37037037,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0.296296296,0,0,0,0,0,0,0,0,0,0,6.814814815,0,0,0,0,0,0,0,0,4.148148148,0,0,21.48148148
NWL02,0,26.51851852,0.148148148,0,17.48148148,0,7.703703704,2.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.296296296,0,0.148148148,0,0,0,0,0,0,0,0,0,0,1.925925926,3.111111111,0,0,0,0,0,0,0,2.074074074,0,0,0,0,0,0,0,0.444444444,0,0,0,0,0,0,0,0,0,0,9.185185185,0,0,0,0,0,0,0,0,0.740740741,0,0,4.888888889
NWL03,0,78.37037037,0.148148148,0,37.62962963,0,7.703703704,3.111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0,0,0,0,0,0,0,0,0,0,0,0.148148148,0,0.148148148,0,0,0,0,0,0,0,0,0,0,3.703703704,5.037037037,0,0,0,0,0,0,0,1.185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.333333333,0,0,0,0,0,0,0,0,0.296296296,0,0,4.444444444
