,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
64,0.475,0.01,0.25,0.75,0.461538462,0.428571429,0.5
65,0.086,0.013,0.4,1,0.583333333,0.4,0.5
66,0.146,0.059,0.375,1,0.769230769,0.8,0.666666667
67,0.305,0.049,0.428571429,1,0.727272727,0.75,0.666666667
68,0.476,0.047,0.5,1,0.818181818,0.75,0.666666667
69,0.745,0.03,0.5,1,0.454545455,1,0.5
70,1.116,0.014,0.333333333,1,0.636363636,0.8,0.5
71,1.435,0.035,0.692307692,1,0.692307692,1,0.5
72,0.835,0.03,0.727272727,0.888888889,0.583333333,0.75,0.5
73,0.086,0.217,1,0.857142857,0.454545455,0.75,0.5
74,0.385,0.141,0.75,0.75,0.461538462,0.6,0.5
75,0.69,0.018,0.444444444,1,0.538461538,0.6,0.5
76,1.094,0.024,0.5,1,0.307692308,0.6,0.5
77,1.519,0.117,0.428571429,1,0.333333333,0.8,0.5
78,0.072,0.069,0.444444444,1,0.307692308,0.833333333,0.666666667
79,0.039,0.064,0.555555556,1,0.272727273,0.75,0.666666667
80,0.1,0.035,0.6,1,0.272727273,0.8,0.666666667
81,0.427,0.028,0.6,1,0.333333333,0.8,0.666666667
82,0.783,0.014,0.416666667,1,0.333333333,0.6,0.666666667
83,0.822,0.052,0.5,1,0.416666667,0.8,0.5
84,1.039,0.033,0.583333333,0.8,0.5,0.5,0.666666667
85,0.57,0.109,0.857142857,0.8,0.538461538,0.5,0.5
86,0.75,0.042,0.545454545,0.857142857,0.357142857,0.5,0.5
87,0.566,0.061,0.538461538,0.8,0.428571429,0.4,0.5
88,0.312,0.022,0.375,0.75,0.384615385,0,0.5
89,0.208,0.008,0.5,1,0.538461538,0.8,0.5
90,0.076,0.04,0.692307692,1,0.818181818,0.8,0.666666667
91,0.467,0.022,0.733333333,0.75,0.833333333,1,0.5
92,0.456,0.018,0.636363636,0.833333333,0.818181818,0.8,0.666666667
93,0.464,0.052,0.714285714,0.833333333,0.727272727,1,0.5
94,0.958,0.015,0.571428571,1,0.818181818,1,0.666666667
95,1.01,0.046,0.615384615,1,0.727272727,1,0.5
96,0.745,0.009,0.571428571,0.833333333,1,1,1
97,0.086,0.056,0.454545455,1,0.545454545,0.8,0.5
98,0.262,0.018,0.375,0.5,0.454545455,0.6,0.5
99,0.365,0.005,0.571428571,1,0.333333333,0.6,0.5
100,0.391,0.002,0.5,0.5,0.545454545,0.6,0.5
101,0.31,0.042,0.615384615,1,0.636363636,0.8,0.5
102,0.576,0.066,0.772727273,0.8,0.636363636,0.75,0.666666667
103,0.826,0.017,0.818181818,0.857142857,0.818181818,0.8,0.5
104,0.67,0.031,0.75,0.8,0.818181818,0.75,0.666666667
105,0.112,0.011,0.714285714,0.75,0.909090909,0.8,0.833333333
106,1.097,0.016,0.636363636,0.8,0.666666667,1,0.666666667
107,1.055,0.03,0.75,0.875,0.636363636,0.75,0.5
108,0.882,0.253,0.8,1,0.272727273,0.5,0.5
109,0.917,0.109,0.444444444,1,0.461538462,0.5,0.666666667
110,0.712,0.026,0.454545455,1,0.583333333,0.6,0.5
111,0.813,0.017,0.666666667,0.818181818,0.454545455,0.4,0.5
112,0.926,0.003,0.363636364,0.833333333,0.727272727,0.5,0.5
113,0.638,0.022,0.772727273,0.75,0.909090909,0.833333333,0.666666667
114,0.704,0.018,0.684210526,0.857142857,1,1,1
115,0.817,0.029,0.8,0.75,0.818181818,0.8,0.5
116,0.569,0.009,0.75,0.875,0.909090909,0.8,0.666666667
117,0.708,0.008,0.65,0.8,0.75,0.8,0.666666667
118,0.485,0.019,0.739130435,0.923076923,0.545454545,0.6,0.5
119,0.724,0.003,0.8,0.857142857,0.454545455,0.5,0.5
120,0.943,0.083,0.782608696,0.923076923,0.454545455,0.5,0.5
121,0.66,0.063,0.736842105,0.833333333,0.363636364,0.6,0.5
122,0.801,0.013,0.727272727,0.833333333,0.363636364,0.6,0.5
123,0.666,0.008,0.76,0.833333333,0.363636364,0.6,0.5
124,0.706,0.01,0.793103448,0.833333333,1,1,1
125,0.514,0.013,0.739130435,0.818181818,0.727272727,0.8,0.714285714
126,0.926,0.013,0.76,0.818181818,0.636363636,0.8,0.714285714
127,0.901,0.024,0.818181818,0.928571429,0.75,0.8,0.571428571
128,0.914,0.078,0.692307692,0.923076923,0.583333333,0.75,0.714285714
129,0.709,0.025,0.814814815,0.846153846,0.583333333,0.8,0.625
130,0.422,0.001,0.807692308,0.866666667,0.615384615,0.5,0.625
131,0.786,0.02,0.818181818,0.875,0.666666667,0.5,0.625
132,0.666,0.012,0.818181818,0.857142857,0.75,1,0.625
133,0.598,0.021,0.777777778,0.833333333,0.818181818,1,0.714285714
134,0.389,0.054,0.72,0.916666667,0.769230769,1,0.714285714
135,0.491,0.056,0.739130435,1,0.818181818,1,0.714285714
136,0.72,0.045,0.777777778,0.916666667,0.909090909,1,0.714285714
137,0.682,0.041,0.740740741,0.928571429,0.727272727,1,0.714285714
138,0.814,0.063,0.785714286,0.818181818,0.75,0.833333333,0.625
139,0.842,0.063,0.772727273,0.916666667,0.545454545,0.75,0.571428571
140,0.845,0.08,0.76,0.928571429,0.416666667,0.8,0.571428571
141,1.034,0.012,0.807692308,0.933333333,0.363636364,0.666666667,0.714285714
142,0.961,0.009,0.848484848,0.866666667,0.538461538,0.666666667,0.625
143,1.111,0.026,0.8125,0.875,0.692307692,0.8,0.625
144,0.952,0.001,0.793103448,0.857142857,0.833333333,1,0.625
145,0.936,0.009,0.8125,0.833333333,1,1,0.714285714
146,0.51,0.008,0.806451613,0.9,0.909090909,1,0.714285714
147,0.513,0.035,0.785714286,0.818181818,1,1,0.714285714
148,0.799,0.022,0.818181818,0.777777778,0.909090909,1,0.666666667
149,0.323,0.099,0.793103448,0.923076923,0.909090909,1,0.666666667
150,0.61,0.083,0.8,0.857142857,0.818181818,1,0.714285714
151,0.565,0.078,0.666666667,0.923076923,0.727272727,0.75,0.625
152,0.88,0.071,0.6,0.928571429,0.545454545,0.8,0.625
153,0.404,0.012,0.782608696,0.846153846,0.333333333,0.6,0.625
154,0.329,0.023,0.785714286,0.833333333,0.5,0.6,0.625
155,0.275,0.025,0.785714286,0.833333333,0.416666667,0.666666667,0.571428571
156,0.169,0.032,0.8,0.888888889,0.666666667,0.8,0.75
157,0.48,0.049,0.806451613,0.888888889,0.818181818,1,0.714285714
158,0.801,0.037,0.870967742,0.888888889,0.818181818,1,0.714285714
159,0.689,0.045,0.833333333,0.875,0.727272727,1,0.714285714
160,0.916,0.039,0.8125,0.9,0.916666667,1,0.714285714
161,0.87,0.075,0.8125,0.909090909,0.769230769,1,0.571428571
162,1.319,0.007,0.8125,0.928571429,0.846153846,0.75,0.625
163,0.882,0.035,0.823529412,0.928571429,0.769230769,0.75,0.714285714
164,1,0.071,0.875,0.833333333,0.5,0.666666667,0.625
165,1.013,0.017,0.857142857,0.846153846,0.571428571,0.666666667,0.625
166,1.246,0.01,0.828571429,0.833333333,0.4,0.6,0.625
167,1.248,0.025,0.828571429,0.833333333,0.588235294,0.666666667,0.625
168,0.812,0.032,0.823529412,0.818181818,0.642857143,0.5,0.625
169,0.795,0.017,0.842105263,0.818181818,0.833333333,1,0.714285714
170,0.813,0.052,0.891891892,0.916666667,0.833333333,1,0.714285714
171,0.822,0.046,0.842105263,0.846153846,0.785714286,1,0.714285714
172,0.679,0.113,0.857142857,0.9,0.833333333,1,0.714285714
173,1.106,0.025,0.837837838,0.888888889,0.846153846,1,0.714285714
174,0.991,0.05,0.793103448,0.875,0.916666667,1,0.5
175,0.842,0.048,0.838709677,0.9,0.769230769,0.75,0.625
176,1.329,0.051,0.821428571,0.875,0.461538462,0.8,0.571428571
177,1.061,0.086,0.777777778,0.909090909,0.333333333,0.8,0.625
178,0.839,0.001,0.818181818,0.923076923,0.538461538,0.6,0.625
179,0.75,0.007,0.818181818,0.923076923,0.461538462,0.6,0.625
180,0.372,0.01,0.8125,1,0.846153846,0.75,0.714285714
181,0.488,0.022,0.823529412,0.909090909,0.916666667,1,0.714285714
182,0.293,0.014,0.828571429,1,0.916666667,1,0.714285714
183,0.579,0.007,0.8125,1,0.916666667,1,0.714285714
184,0.784,0.038,0.862068966,1,0.769230769,1,0.714285714
185,1.159,0.057,0.8,1,0.833333333,1,0.714285714
186,1.313,0.047,0.838709677,0.909090909,0.846153846,0.75,0.625
187,0.916,0.103,0.862068966,0.875,0.5,0.75,0.625
188,1.004,0.104,0.833333333,0.9,0.538461538,0.8,0.625
189,0.932,0.102,0.764705882,0.9,0.466666667,0.666666667,0.625
190,0.357,0.034,0.75862069,0.916666667,0.625,0.666666667,0.571428571
191,0.223,0.012,0.84375,0.909090909,0.857142857,0.8,0.625
192,0.069,0.02,0.8,0.923076923,0.769230769,1,0.75
193,0.108,0.076,0.823529412,1,0.916666667,1,0.714285714
194,0.243,0.037,0.793103448,1,0.916666667,1,0.714285714
195,0.448,0.045,0.806451613,1,1,1,0.714285714
196,0.948,0.029,0.8125,1,1,1,0.5
197,1.212,0.032,0.8,1,0.909090909,1,0.5
198,0.944,0.096,0.827586207,1,0.909090909,1,0.666666667
