"","K001","K002","K003","K178","K005","K215","K216","K006","K009","K010","K181","K182","K004","K011","K007","K012","K013","K183","K223","K031","K184","K188","K032","K033","K185","K186","K034","K035","K036","K187","K037","K038","K039","K023","K024","K017","K026","K027","K028","K029","K014","K019","K191","K016","K021","K018","K022","K015"
"1984/11/7",0,0,0,0,0,0,0,0,0,3102765,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1984/12/5",0,0,0,0,0,0,0,0,0,3577294,0,0,0,25492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/1/9",0,0,0,0,0,0,0,0,0,61107,0,0,0,159436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/2/6",0,0,0,0,0,0,0,0,0,82461,0,0,0,63775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/3/6",0,0,0,0,0,0,0,0,0,25954,0,0,0,44677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/5/8",0,0,0,0,0,0,0,0,0,113014,0,0,0,95662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6037441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/6/12",0,0,0,0,0,0,0,0,0,239170,0,0,0,44677,249737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/7/10",0,0,0,0,0,0,0,0,0,1633844,0,0,0,0,93652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80499,0,0,0,0,0,0,0,0,0,0,0,0,282462,0,0,0,0
"1985/8/7",0,0,0,0,0,0,0,0,0,12484127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/9/10",0,0,0,0,0,0,0,0,0,6351595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/10/2",0,0,0,0,0,0,0,0,0,2336240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/11/6",0,0,0,0,0,0,0,0,0,1460117,0,0,0,0,62434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/12/12",0,0,0,0,0,0,0,0,0,0,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
