"","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"1987/11/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0
"1987/12/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5,0,0,0.5,0,0,0,0,0,0,0,0,7,0,0,0,0.3,0
"1988/1/13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,28.8,0,0,0,0,0,0,0,0,0,0,0,69.5,0,54.3,0,0,0
"1988/2/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,21,0,0.3,0,0,0
"1988/3/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
"1988/6/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988/7/13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0.3,0
"1988/8/10",0,0,8.5,1.5,0,140.5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,277.5,0,0,10.5,0,0,0,0,0,0,0,0,74,0.5,0,0,11,0
"1988/9/14",0,0,1,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,22.5,1,52.5,0,0,0,0,0,0,0,0,0,0,0,137,0.5,0,0,10.5,0
"1988/10/12",0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,69,6,128,0,0,11,2,0,0,0,0,0,0,0,63,15,0,0,73,0
"1988/11/9",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,184.5,0,0.5,2,0,0,0,0,0,0,0,0,52,5.5,0,0,11,0
"1988/12/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199.5,0,0,1,0,0,0,0,0,0,0,0,32.5,0,0,0,0,0
"1989/1/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,64.5,0,0,0,0,0,0,0,0,0,0,0,423,0,0,0,0,0
"1989/2/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,18.8,0,0,0,0,0
"1989/4/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,53.5,0,0,0,0,0
"1989/5/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1989/6/14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0
