"","K225","K040","K041","K221","K042","K043","K044","K045","K046","K047","K049","K053","K054","K055","K057","K056","K058","K059","K060","K061","K062","K063","K064","K208","K065","K066","K067","K068","K069","K070","K071","K072","K073","K074","K075","K200","K076","K077","K078","K214","K079","K080","K081","K082","K083","K084","K085","K211","K086","K087","K088","K089","K090_3","K090_1","K090_2","K091","K092","K093","K094","K095","K096","K097","K098","K099","K100","K101","K102","K103","K104","K105","K106","K226","K138","K130","K118","K110","K132","K113","K114","K119","K115","K120","K174","K121","K133","K131","K149","K150","K153","K134","K154","K155","K167","K107","K108","K156","K157","K158","K122","K123","K135","K171","K151","K143","K152","K139","K141","K172","K116","K124","K125","K202","K159","K111","K144","K142","K126","K173","K145","K146","K168","K177","K140","K148","K169","K117","K160","K147","K109","K127","K217","K128","K161","K112","K212","K136","K137","K176","K162","K163","K129","K166","K164","K170","K205","K165"
"1985/10/2",0,0,0,0,0,30633,0,0,0,0,0,0,4489976,0,0,323422,0,120948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1049312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,594124,1765469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23147,0,0,1803025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234026,15200,0,0,349230,0,0,0,9935,0,26171,0,0,22686
"1985/11/6",0,0,0,0,0,183680,0,0,0,0,0,0,7861315,0,0,767356,0,60474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,807505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9894,721210,0,54255,0,0,0,0,0,0,0,0,0,0,0,0,23357,0,0,0,349230,0,0,0,0,0,10461,0,0,0
"1985/12/12",0,0,0,0,0,109319,0,0,0,0,0,0,3934515,0,0,0,0,0,0,0,50846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,830410,0,0,0,0,0,649626,59789,0,0,0,0,0,0,0,0,0,0,0,0,0,41057,0,0,0,0,0,0,0,0,0,0,1880,0,0,0,0,0,0,0,0,325715,0,0,0,0,0,0,0,0,0,0,0,0,32693,15200,0,0,0,0,0,0,9935,0,0,0,0,11343
"1986/1/8",0,0,0,0,0,174910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136236,0,0,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4668,0,0,0,0,0,0,0,0,0,10461,0,0,11343
"1986/2/5",0,0,0,0,0,21864,0,0,0,0,0,0,0,0,0,0,0,60474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15200,0,0,0,0,0,0,0,0,0,0,0,0
"1986/3/5",0,0,0,0,0,271135,0,0,0,0,0,0,0,0,0,383349,0,362015,0,0,0,0,0,0,0,369752,0,0,0,0,0,0,0,0,0,0,9369968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,888477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4668,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/4/9",0,0,0,0,0,1189352,0,0,0,0,0,0,4489976,0,0,0,0,1929365,0,0,0,0,0,0,0,738658,0,0,0,0,0,0,0,0,0,0,200284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404756,0,2583350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/5/7",0,0,0,0,0,18140,0,0,0,0,0,0,6734964,0,0,0,0,4895766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2342869,0,322780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1629233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210976,0,0,0,0,0,0,0,0,146334,0,0,0,0,0,0,0,0,0,20922,0,0,0
"1986/6/11",0,0,0,0,0,96164,0,0,0,0,0,0,1118637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4919059,0,645560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108509,0,0,8226,603407,0,0,0,0,0,0,0,0,82503,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/7/9",0,0,0,0,0,445985,0,0,0,0,0,0,1118637,0,0,0,0,414459,0,0,0,0,0,0,0,0,0,0,0,0,0,562703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233321,0,5813369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14756,0,0,0,0,1086155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11534,0,0,0,0,54255,0,0,0,13329058,0,0,0,0,0,0,0,0,495378,60590,0,0,0,0,0,0,0,0,31402,0,0,0
"1986/8/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134370,0,0,0,0,0,0,119577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27034,0,0,0,0,0,0,0,0,0,0,0,0,9336,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/9/10",0,0,0,0,0,0,0,0,0,0,0,0,138865,0,0,40011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10068,0,0,0,0,0,0,0,0,0,0,0,0,9269,0,0,0,0,0,0,0,0,0,0,0,0,0
