"","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023_1","Z023_2","Z023_3","Z024","Z025","Z026","Z027","Z028","Z030","Z032"
"1984/11/7",0,129.5,0,16,0,52.5,0,0,0,0,2,0,0,0,0,0,0
"1984/12/5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/1/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/2/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/3/6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/5/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/6/12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1985/7/10",0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"1985/8/7",0,61,0,0,0,0,0,0,0,0,45,0,0,0,0,30,0
"1985/9/10",0,165,0,50,0,1.5,0,0,0,0,41,0,0,0,0,3.5,0
"1985/10/2",0,273,0,53.5,0,5,0,0,0,0,26.5,0,0,0,0,18.5,0
"1985/11/6",0,174.5,0,11.5,0,12,0,0,0,0,8.5,0,0,0,0,7.5,0
"1985/12/12",0,181,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0
"1986/1/8",0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1986/2/5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/3/5",0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0
"1986/4/9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/5/7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/6/11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1986/7/9",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"1986/8/6",0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0
"1986/9/10",0,292,0,0,0,4,0,0,0,0,65,0,0,0,0,0.5,0
"1986/10/9",0.5,183.5,0,6.5,0,264.5,0,0,0,0,24,0,0,0,0,1.5,0
"1986/11/12",0,108,0,4,0,4,0,9,0,0,5,0,0,0,0,1,0
"1986/12/10",0,0,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0
"1987/1/7",0,0.3,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0
"1987/3/4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/4/15",0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0
"1987/5/13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/6/10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/7/8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1987/8/5",0,0,0,0,0,0,0,0,0,0,54.5,0,0,0,0,0.5,0
"1987/9/9",0,46,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0
"1987/10/14",0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
"1987/11/11",0,0,0,0,0,0,0,1.5,0,0,2.8,0,0,0,0,0,0
"1987/12/9",0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1988/1/13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
