"","TN","TP","Algae","Cyanobacteria","Rotifer","Cladocera","Copepod"
"TN",0,0,0.0508211332291147,0,0,0,0
"TP",0,0,0.163072725381649,0.0684026303510766,0,0,0
"Algae",0.0508211332291147,0.163072725381649,0,0.34954947060906,0.0711356202640862,0,0
"Cyanobacteria",0,0.0684026303510766,0.34954947060906,0,0.107194335233535,0,0.0797262768109654
"Rotifer",0,0,0.0711356202640862,0.107194335233535,0,0.0934056644793478,0.205859983051437
"Cladocera",0,0,0,0,0.0934056644793478,0,0.0640029836111001
"Copepod",0,0,0,0.0797262768109654,0.205859983051437,0.0640029836111001,0
