"","Date","Station","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023.1","Z023.2","Z023.3","Z024","Z025","Z026","Z027","Z028","Z030","Z032","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"159","1986/06/11",3,0,0,0,7.8,0,0,0,0,0,0,0,45.8,49.5,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","1986/07/09",3,0,0,0,8.3,0,0,0,0,0,0,0,21.8,69.8,0,8.5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","1986/08/06",3,0,0,0,3,0,0,0,0,0,0,0,5,29,0,162,0,0,0,0,0,0,0,0,86.5,0,0,0,0,1,0,0,0,4,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,5,0,0,21.5,0,0,0,0,0,0,0,0,6,0.5,0,0,1.5,0
"162","1986/09/10",3,0,0,0,26,0,0,0,0,0,0,0,34,25,0,372,0,0,0,59,0,0,0,0,84,0,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,30,0,10,0,0,9,0,0,0,0,0,0,0,0,0,7,0,0,13,0
"163","1986/10/09",3,0,0,0,11,0,0,0,0,0,0,0,27,22,0,262,0,1.5,0,195.5,0,0,0,0,27.5,0,0,0,0,3.5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,4.5,0,0,4,0,0,0,0,0,0,0,0,0.5,0,0,0,2,0
"164","1986/11/12",3,0,0,0,3.8,0,0,0,0,0,0,0,33.8,54.3,0,229.8,0,0.8,0,11.8,0,0.3,0,0,8.5,0,0,0,0,0,0,0,0.5,1,0,0,7,0,0.5,0,0,0,0,0,0,2.5,0,0,0,0.8,0,6,0,0,4.3,0,0,0,0,0,0,0,0,5.3,0,0.8,0,0.3,0
"165","1986/12/10",3,0,0,0,1.8,0,0,0,0,0,0,0,42.5,134.8,0,14.1,0,0,0,0.5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,2.3,0,0,0,0,0,0,0,0,17.3,0,0.3,0,0,0
"166","1987/01/07",3,0,0,0,0.8,0,0,0,0,0,0,0,22.8,98.8,0,0,0,0,0,0,0,8.8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.3,0,0,0,0,0,0,0,0,28,0,0,0,0,0
"168","1987/03/04",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","1987/04/15",3,0,0,0,0,0,0,0,0,0,0,0,35,70.5,0,0,0,0,0,0.3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0.3,0.5,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0
