"","Date","Station","Z002","Z003","Z004","Z005","Z006","Z007","Z008","Z009","Z011","Z010","Z080","Z012","Z013","Z014","Z015","Z018","Z019","Z020","Z021","Z022","Z023.1","Z023.2","Z023.3","Z024","Z025","Z026","Z027","Z028","Z030","Z032","Z036","Z034","Z035","Z037","Z038","Z039","Z074","Z067","Z040","Z041","Z042","Z043","Z044","Z045","Z046","Z047","Z048","Z077","Z049","Z051","Z052","Z054","Z055","Z056","Z057","Z058","Z076","Z078","Z059","Z060","Z061","Z062","Z063","Z065","Z068","Z079","Z069","Z071"
"118","1984/11/07",9,0,3,0.5,8.5,0,6.5,0,0,0,2,0,55.5,105.5,0,129.5,0,16,0,52.5,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.5,0,425,0,0,22,0,0,0,0,0,0,0,0,33,0,221.5,0,16.5,0
"122","1984/12/05",9,0,1,1.5,0.8,0,5,0,0,0,0,0,18,49.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"124","1985/01/09",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"125","1985/02/06",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"126","1985/03/06",9,0,0,1,0,0,0.5,0,0,0,0,0,11.5,19.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"130","1985/05/08",9,0,0,0.3,0.3,0,0.8,0,0,0,0,0,10.5,19.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"134","1985/06/12",9,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","1985/07/10",9,0,0,0.3,0.8,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0
"141","1985/08/07",9,0,0,0,3,0,0,0,0,0,0,0,115.5,147.5,0,61,0,0,0,0,0,0,0,0,45,0,0,0,0,30,0,0,0,5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,8.5,8.5,0,0,2,0,0,0,0,0,0,0,0,32.5,0,5.5,0,0,0
"145","1985/09/10",9,0,4.5,0,20,0,0,0,0,0,0,0,27,121.5,0,165,0,50,0,1.5,0,0,0,0,41,0,0,0,0,3.5,0,0,0,0.5,0,0,5.5,0,0,1.5,0,0,0,0,0,0,0,0,0,4,1.5,0,0,0,4.5,0,0,0,0,0,0,0,0,6,0,0,0,17.5,0
"148","1985/10/02",9,0,1.5,0,6,0,0,0,0,0,0,0,27,58.5,0,273,0,53.5,0,5,0,0,0,0,26.5,0,0,0,0,18.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,28.5,0,1.5,0,4,0
"150","1985/11/06",9,0,6.5,0,9.5,0,0,0,0,0,0,0,62.5,80,0,174.5,0,11.5,0,12,0,0,0,0,8.5,0,0,0,0,7.5,0,0,0,8.5,0.5,0,0,0,0,0,0,0,0,0,0,15.5,0,0.5,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,4,0
"153","1985/12/12",9,0,1,0,1,0,0,0,0,0,0,0,17,16,0,181,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,50,0,23,0,0,0
"154","1986/01/08",9,0,0,0,0,0,0,0,0,0,0,0,13.5,33.5,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,129.5,0,8,0,0,0
"155","1986/02/05",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"156","1986/03/05",9,0,0,0,0.3,0,0,0,0,0,0,0,28.8,124.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0.3,0,0,0,0,0,0,0,0,0,16.5,0,0,0,0.3,0
"157","1986/04/09",9,0,0,0,0,0,0,0,0,0,0,0,39.5,162.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,7.3,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0
"158","1986/05/07",9,0,0,0,3,0,0,0,0,0,0,0,50,57.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
"159","1986/06/11",9,0,0,0,4,0,0,0,0,0,0,0,1,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"160","1986/07/09",9,0,0,0,0,0,0,0,0,0,0,0,0.5,19.5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161","1986/08/06",9,0,0,0,10,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","1986/09/10",9,0,0,0,4,0,0,0,0,0,0,0,3,40.5,0,292,0,0,0,4,0,0,0,0,65,0,0,0,0,0.5,0,0,0,0,0,0,25.5,0,0,0,0,0,0,0,0,0,0,5,0,0.5,8,0.5,0,0,5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,1.5,0
"163","1986/10/09",9,0,0,0,22.5,0,0,0,0,0,0,0,28.5,88.5,0.5,183.5,0,6.5,0,264.5,0,0,0,0,24,0,0,0,0,1.5,0,0,0,1,0,0.5,5.5,0,0,0,0,0,0,0,0,0,0,0.5,0,2.5,3.5,3,0,0,9.5,0,0,0,0,0,0,0,0,2.5,0,0,0,2.5,0
"164","1986/11/12",9,0,0,0,7,0,0,0,0,0,0,0,30,23,0,108,0,4,0,4,0,9,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"165","1986/12/10",9,0,0,0,0.3,0,0,0,0,0,0,0,5.5,43.5,0,0,0,0,0,0,0,86.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
"166","1987/01/07",9,0,0,0,0,0,0,0,0,0,0,0,2,7.3,0,0.3,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0.3,0,0,0
"168","1987/03/04",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","1987/04/15",9,0,0,0,0,0,0,0,0,0,0,0,19.8,23.8,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"170","1987/05/13",9,0,0,0,0.8,0,0,0,0,0,0,0,7.6,12.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","1987/06/10",9,0,0,0,11.3,0,0,0,0,0,0,0,0.5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"172","1987/07/08",9,0,0,0,33,0,0,0,0,0,0,0,0,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2.8,0,0.5,0
"173","1987/08/05",9,0,0,0,12,0,0,0,0,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,54.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.5,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"174","1987/09/09",9,0,0,0,3.3,0,0,0,0,0,0,0,37.3,36.5,0,46,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0,7,0,0,28.5,0,3,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,10.8,0,0,0,0,0,0,0,0,5.5,0,0,0,0.5,0
"175","1987/10/14",9,0,0,0,4.5,0,0,0,0,0,0,0,39.5,95.5,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4,0,228,0,0,44.5,0.5,0,0,0,0,0,0,0,297.5,0.5,0,0,44.5,0
