"","Date","Station","K001","K002","K003","K178","K005","K215","K216","K006","K009","K010","K181","K182","K004","K011","K007","K012","K013","K183","K223","K031","K184","K188","K032","K033","K185","K186","K034","K035","K036","K187","K037","K038","K039","K023","K024","K017","K026","K027","K028","K029","K014","K019","K191","K016","K021","K018","K022","K015","K225","K040","K041","K221","K042","K043","K044","K045","K046","K047","K049","K053","K054","K055","K057","K056","K058","K059","K060","K061","K062","K063","K064","K208","K065","K066","K067","K068","K069","K070","K071","K072","K073","K074","K075","K200","K076","K077","K078","K214","K079","K080","K081","K082","K083","K084","K085","K211","K086","K087","K088","K089","K090.3","K090.1","K090.2","K091","K092","K093","K094","K095","K096","K097","K098","K099","K100","K101","K102","K103","K104","K105","K106","K226","K138","K130","K118","K110","K132","K113","K114","K119","K115","K120","K174","K121","K133","K131","K149","K150","K153","K134","K154","K155","K167","K107","K108","K156","K157","K158","K122","K123","K135","K171","K151","K143","K152","K139","K141","K172","K116","K124","K125","K202","K159","K111","K144","K142","K126","K173","K145","K146","K168","K177","K140","K148","K169","K117","K160","K147","K109","K127","K217","K128","K161","K112","K212","K136","K137","K176","K162","K163","K129","K166","K164","K170","K205","K165"
"165","1984/11/07",9,0,0,0,0,0,0,0,0,0,1241119,0,0,0,0,62434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979484,0,0,0,0,0,0,21338958,0,0,16545806,0,301541,0,0,0,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,100486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2745294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1619615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721210,0,54255,0,0,0,"0",0,0,0,0,0,0,0,0,200347,0,0,0,1042907,0,0,0,0,0,10461,0,0,0
"167","1984/12/05",9,0,0,0,0,0,0,0,0,0,2263175,0,0,0,38282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,323572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50846,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,50243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2310413,0,0,0,0,0,2589604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,865848,0,27221,0,0,0,"0",0,0,0,0,0,0,0,0,32693,0,0,0,0,0,0,0,0,0,26171,0,0,0
"169","1985/01/09",9,0,0,0,0,0,0,0,0,0,27925,0,0,0,95662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166141,0,0,0,0,0,0,563176,0,0,0,0,241067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117465,0,241808,0,0,0,0,0,0,0,0,0,0,6294,0,0,0,0,0,0,0,0,0,0,0,815550,0,0,0,0,0,649626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,28025,0,0,0,0,0,0,0,9935,0,10461,0,0,0
"170","1985/02/06",9,0,0,0,0,0,0,0,0,0,22669,0,0,0,44677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183680,0,0,0,0,0,0,0,0,0,0,0,542608,0,0,0,0,0,0,0,123533,0,0,0,0,0,0,0,0,0,0,2154253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117465,0,484725,0,0,0,0,0,0,0,0,0,0,15691,0,0,0,0,0,0,0,0,0,0,0,406842,0,0,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,9336,0,0,0,0,0,0,0,0,0,10461,0,0,11343
"171","1985/03/06",9,0,0,0,0,0,0,0,0,0,0,0,0,0,19097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183680,0,0,0,0,0,0,0,0,0,191674,0,1809246,0,0,0,0,0,0,0,446748,0,0,0,0,0,0,0,0,0,0,6012637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1406365,0,1130285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2174177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","1985/05/08",9,0,0,0,0,0,0,0,0,0,56836,0,0,0,561181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,837192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,874550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8818672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936504,0,1292229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,224230,0,0,0,0,0,0,0,554865,0,62803,0,0,0
"176","1985/06/12",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647143,0,0,0,0,0,0,0,0,0,0,0,241067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2584459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1086155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,9336,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","1985/07/10",9,0,0,0,0,0,0,0,0,0,33181,0,0,0,0,6243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2173281,0,0,0,0,0,0,0,0,0,0,0,4342521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3106805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0",0,0,0,0,0,0,0,0,28025,0,0,0,0,0,0,0,0,0,10461,0,0,0
"185","1985/08/07",9,0,0,0,0,0,0,0,0,0,166893,0,0,0,12790,156086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39343,0,0,0,0,0,0,563176,0,0,191674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726532,0,0,0,304059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,543078,0,0,0,0,0,0,76250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108509,0,0,0,"0",0,0,0,0,0,0,0,0,159096,15200,0,0,0,0,0,0,0,0,0,0,0,0
"188","1985/09/10",9,0,0,0,0,0,0,0,0,0,591353,0,0,0,6395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8050,0,0,0,0,0,0,0,0,0,0,0,0,0,212975,0,0,0,0,0,0,0,0,21864,0,0,0,0,0,0,2808164,0,0,919652,4529448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54255,0,0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
