"","Achnanthes_sp.","Amphora_ovalis","Cocconeis_placentula","Coscinodiscus_sp.","Cyclotella_sp.","Cymbella_sp.","Fragilaria_capucina","Fragilaria_sp.","Frustulia_sp.","Gomphonema_sp.","Melosira_granulata","Navicula_sp.","Nitzschia_sp.","Pinnularia_nobilis","Stauroneis_acuta","Surirella_sp.","Synedra_acus","Synedra_sp.","Tabellaria_sp.","Ankistrodesmus_acicularis","Ankistrodesmus_convolutus","Ankistrodesmus_falcatus","Ankistrodesmus_falcatus_var._mirabilis","Botryococcus_braunii","Chlamydomonas_sp.","Chlorella_sp.","Chodatella_cilliata","Closteriopsis_sp.","Closterium_kutzingii","Coelastrum_microporum","Coelastrum_reticulatum","Coelastrum_sphaericum","Cosmarium_angulosum","Cosmarium_bioculatum","Cosmarium_circulare","Cosmarium_connatum","Cosmarium_depressum","Cosmarium_globosum","Cosmarium_quadrum","Cosmarium_sp.","Cosmarium_trilobulatum","Cosmarium_turgidum","Crucigenia_lauterbornei","Crucigenia_quadrata","Crucigenia_rectangularis","Crucigenia_tetrapedia","Dictyosphaeria_cavernosa","Elakatothrix_gelatinosa","Euastrum_elegans","Eudorina_elegans","Gloeocystis_sp.","Golenkinia_paucispina","Gonatozygon_kinahani","Kirchneriella_contorta","Kirchneriella_lunaris_","Mougeotia_sp.","Nephrocytium_agardhianum","Oedogonium_sp.","Oocystis_lacustris","Pediastrum_duplex","Pediastrum_tetras_var._tetraodon","Pleodorina_californica","Pteromonas_sp.","Radiococcus_sp.","Raphidonema_nivale","Scenedesmus_acuminatus","Scenedesmus_arcuatus","Scenedesmus_armatus","Scenedesmus_bicaudatus","Scenedesmus_bijuga","Scenedesmus_denticulatus","Scenedesmus_dimorphus","Scenedesmus_perforatas","Scenedesmus_quadricauda","Schroederia_robusta","Selenastrum_bibraianum","Sphaerocystis_schroeteri","Staurastrum_bifidum","Staurastrum_connatum","Staurastrum_crenulatum","Staurastrum_gracile","Staurodesmus_sp.","Tetraedron_bifurcatum","Tetraedron_caudatum","Tetraedron_hastatum_var._palatinum","Tetraedron_minimum","Tetraedron_trigonum","Tetraedron_trilobulatum","Tetraedron_tumidulum","Treubaria_triappendiculata","Westella_linearis","Mallomonas_acaroides","Mallomonas_oviformis","Synura_sp.","Chroomonas_caudata","Cryptomonas_erosa","Cryptomonas_marssonii","Cryptomonas_ovata","Glenodinium_pulvisculus","Peridinium_sp.","Euglena_interrupta","Euglena_oxyuris","Euglena_pisciformis","Lepocinclis_texta","Phacus_acuminatus","Phacus_longicauda","Phacus_pleuronectes","Strombomonas_ensifera","Trachelomonas_oblonga","Trachelomonas_reticulata"
"FJ2015094",56842.03125,0,50526.25,0,151578.75,0,3157.890625,0,0,3157.890625,63157.8125,3157.890625,0,0,0,0,22105.23438,0,0,22105.23438,0,3157.890625,0,0,0,770525.3125,3157.890625,15789.45313,0,0,9473.671875,0,0,0,0,0,0,0,0,0,0,0,0,9473.671875,6315.78125,0,0,0,6315.78125,0,0,0,0,3157.890625,0,0,0,0,47368.35938,0,0,0,34736.79688,6315.78125,0,3157.890625,0,0,15789.45313,3157.890625,0,0,0,0,3157.890625,50526.25,0,0,0,0,0,0,0,0,0,9473.671875,9473.671875,0,0,0,15789.45313,0,0,0,25263.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37894.6875
"FJ2015095",20210.5,3368.416667,30315.75,0,43789.41667,0,0,0,0,0,47157.83333,0,3368.416667,0,0,0,16842.08333,0,0,53894.66667,0,0,0,0,3368.416667,845472.5833,0,16842.08333,0,0,6736.833333,6736.833333,0,0,0,0,0,0,6736.833333,3368.416667,0,0,0,13473.66667,16842.08333,16842.08333,0,0,10105.25,0,0,0,0,0,0,0,0,0,6736.833333,0,0,0,0,0,0,0,0,0,20210.5,0,0,0,0,0,3368.416667,20210.5,3368.416667,0,0,0,0,0,0,0,0,6736.833333,6736.833333,0,0,0,3368.416667,0,0,0,370525.8333,0,0,16842.08333,6736.833333,0,0,0,0,0,0,0,0,0,0,40421
"FJ2015096",16611.36986,0,22148.49315,0,35991.30137,0,0,0,0,5537.123288,152270.8904,0,0,2768.561644,0,0,2768.561644,0,0,58139.79452,0,30454.17808,0,0,0,570323.6986,0,11074.24658,0,0,0,8305.684932,0,5537.123288,0,0,0,0,8305.684932,0,0,0,0,0,16611.36986,33222.73973,2768.561644,0,16611.36986,0,0,0,2768.561644,5537.123288,0,0,0,0,11074.24658,2768.561644,0,0,0,8305.684932,0,8305.684932,0,2768.561644,38759.86301,0,0,0,0,0,13842.80822,13842.80822,5537.123288,0,0,0,0,0,0,0,0,0,11074.24658,0,0,5537.123288,2768.561644,0,0,0,99668.21918,0,0,0,2768.561644,0,0,0,0,5537.123288,0,0,0,5537.123288,0,0
"FJ2015097",0,0,9327.923077,0,15546.53846,0,0,0,0,3109.307692,87060.61538,0,0,0,0,0,3109.307692,0,0,0,27983.76923,31093.07692,0,6218.615385,3109.307692,702703.5385,6218.615385,15546.53846,0,6218.615385,3109.307692,6218.615385,0,3109.307692,0,6218.615385,0,0,0,0,0,0,0,6218.615385,0,46639.61538,0,0,0,3109.307692,0,0,0,21765.15385,0,0,0,6218.615385,3109.307692,0,0,0,0,0,0,0,0,0,12437.23077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9327.923077,0,0,12437.23077,0,0,0,0,413537.9231,0,0,6218.615385,0,3109.307692,0,0,9327.923077,9327.923077,0,0,0,0,0,0
"FJ2015098",24252.6,0,48505.2,0,109136.7,4042.1,0,0,0,0,250610.2,0,0,0,0,0,16168.4,0,0,12126.3,48505.2,0,0,0,0,957977.7,0,16168.4,0,0,0,16168.4,0,0,4042.1,0,0,0,0,0,0,0,8084.2,0,20210.5,0,0,0,16168.4,4042.1,0,0,0,8084.2,0,0,0,0,4042.1,0,0,0,0,0,0,12126.3,0,0,24252.6,0,0,0,0,0,4042.1,8084.2,0,0,0,0,0,0,4042.1,4042.1,0,16168.4,0,0,0,0,0,0,0,0,266778.6,16168.4,0,16168.4,0,0,0,0,16168.4,4042.1,0,0,0,8084.2,0,0
"FJ2015099",40421,0,40421,0,156631.375,5052.625,15157.875,0,0,10105.25,767999,10105.25,0,0,0,0,20210.5,0,0,5052.625,25263.125,0,0,5052.625,0,793262.125,0,10105.25,0,0,5052.625,10105.25,0,0,5052.625,0,0,0,0,0,0,5052.625,15157.875,0,0,25263.125,0,0,10105.25,5052.625,0,0,0,10105.25,0,0,0,0,0,10105.25,0,0,0,0,0,0,0,0,25263.125,0,5052.625,0,15157.875,0,0,25263.125,0,0,0,0,0,0,0,0,0,0,25263.125,0,0,15157.875,0,0,0,0,303157.5,5052.625,0,40421,10105.25,0,0,0,10105.25,0,0,0,0,0,0,0
"FJ2015100",28872.14286,0,57744.28571,0,192480.9524,0,0,43308.21429,0,0,1020149.048,4812.02381,4812.02381,0,0,0,4812.02381,0,0,38496.19048,0,0,0,19248.09524,0,524510.5952,0,28872.14286,0,0,0,0,0,4812.02381,0,0,0,4812.02381,4812.02381,4812.02381,0,0,120300.5952,0,0,33684.16667,0,0,28872.14286,14436.07143,0,0,0,14436.07143,0,0,0,0,19248.09524,4812.02381,0,0,0,14436.07143,0,4812.02381,0,4812.02381,19248.09524,0,0,0,14436.07143,0,0,4812.02381,0,0,0,0,0,0,19248.09524,0,0,4812.02381,0,0,0,43308.21429,0,0,0,0,4812.02381,0,0,4812.02381,9624.047619,0,0,0,0,0,0,0,0,9624.047619,0,0
"FJ2016001",16673.67895,0,8084.2,4042.1,440210.1053,0,0,4042.1,0,3157.894737,2286187.726,11242.09474,0,8084.2,0,0,19326.29474,0,36378.9,15284.19474,0,0,53684.21053,0,0,291536.6105,0,16673.67895,0,6315.789474,0,8084.2,8084.2,8084.2,0,0,0,0,0,0,0,0,0,0,10357.88947,22989.46842,0,18947.36842,12631.57895,0,0,0,0,170526.3158,0,0,0,0,0,0,9473.684211,0,0,0,4042.1,9473.684211,4042.1,0,37389.45789,0,0,0,9473.684211,4042.1,0,0,12631.57895,0,0,0,0,0,6315.789474,0,0,0,18442.08947,0,0,0,0,0,3157.894737,0,43705.24737,0,0,16673.67895,3157.894737,4042.1,0,0,0,4042.1,8084.2,0,0,0,0,4042.1
"FJ2016016",56589.4,0,64673.6,0,517388.8,0,0,0,0,0,2538438.8,0,0,8084.2,0,0,16168.4,0,0,16168.4,16168.4,0,0,16168.4,0,517388.8,0,40421,0,0,0,0,0,0,8084.2,0,0,0,0,0,0,0,0,0,0,8084.2,0,0,16168.4,0,0,0,0,0,0,0,0,0,0,24252.6,0,0,0,0,0,0,0,0,0,0,0,0,32336.8,0,0,32336.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48505.2,0,0,8084.2,0,0,0,0,8084.2,16168.4,0,0,0,0,0,0
"FJ2016017",8982.444444,0,22456.11111,4491.222222,40421,0,0,0,0,0,992560.1111,4491.222222,0,0,0,0,0,0,0,31438.55556,22456.11111,0,0,17964.88889,0,835367.3333,0,4491.222222,0,4491.222222,0,0,0,8982.444444,0,0,0,13473.66667,0,0,0,0,17964.88889,0,0,35929.77778,0,0,44912.22222,0,0,0,0,0,0,0,0,0,8982.444444,13473.66667,0,0,0,0,0,4491.222222,0,0,0,0,0,0,8982.444444,0,0,8982.444444,0,0,0,0,0,0,0,0,0,0,26947.33333,4491.222222,0,0,0,0,0,0,8982.444444,0,0,4491.222222,0,0,0,0,4491.222222,4491.222222,0,0,0,8982.444444,0,0
