
Call:
manyglm(formula = phyto_zoo_select ~ X, family = "negative.binomial")

Pairwise associations:
       K00    K00    K00    K00    K00    K01    K00    K01    K00    K01    K01    K03    K03    K03    K03    K03    K03    K03    K02    K01    K02    K02    K01    K01    K02    K02    K04    K04    K04    K04    K04    K04    K05    K05    K05    K05    K05    K05    K05    K06    K06    K06    K06    K06    K06    K06    K06    K07    K07    K07    K07    K07    K08    K08    K08    K08    K08    K08    K08    K09    K09    K09    K09    K09    K09    K09    K10    K10    K10    K10    K10    K13    K11    K11    K11    K11    K11    K12    K12    K13    K13    K14    K15    K15    K13    K15    K15    K10    K15    K15    K12    K12    K13    K14    K15    K13    K14    K12    K12    K14    K14    K12    K17    K14    K14    K16    K11    K14    K10    K12    K16    K11    K13    K16    K16    K12    K16    K17    K16    Z00    Z00    Z00    Z00    Z00    Z00    Z00    Z01    Z01    Z01    Z01    Z01    Z01    Z02    Z02    Z02    Z02    Z03    Z03    Z03    Z03    Z03    Z03    Z06    Z04    Z04    Z04    Z04    Z04    Z04    Z04    Z05    Z05    Z05    Z05    Z05    Z05    Z06    Z06    Z06    Z06    Z06
K14  0.017 -0.005  0.051 -0.002  0.031 -0.017 -0.018  0.040 -0.009 -0.009  0.009 -0.002 -0.025 -0.050 -0.025  0.033 -0.004 -0.058  0.018  0.012  0.081  0.003  0.026  0.017 -0.023 -0.018  0.020 -0.007  0.012 -0.025  0.019 -0.022 -0.018  0.037  0.099 -0.039 -0.052  0.024 -0.047 -0.056  0.050 -0.030 -0.010 -0.039  0.036  0.006 -0.008 -0.060 -0.006  0.020 -0.008  0.029  0.004  0.086  0.006  0.005 -0.021  0.010  0.086  0.004  0.015  0.015  0.026 -0.004  0.013  0.065  0.038 -0.022 -0.004  0.020 -0.017  0.059 -0.030  0.053  0.006  0.078  0.042  0.001  0.020  0.024 -0.046 -0.040 -0.003 -0.029  0.010  0.053  0.016  0.091 -0.070 -0.014  0.005  0.009 -0.028 -0.005 -0.042  0.009  0.019 -0.020  0.038  0.000 -0.035  0.098  0.035  0.057  0.022 -0.018  0.009 -0.028 -0.031 -0.002 -0.009 -0.019 -0.015  0.040 -0.012  0.096  0.004 -0.007  0.023 -0.055 -0.014  0.008 -0.044  0.039  0.054 -0.015 -0.029  0.101 -0.055  0.017  0.010 -0.018  0.002  0.007  0.009 -0.102  0.008  0.019 -0.023 -0.026  0.022  0.027 -0.009 -0.029  0.001 -0.009 -0.016 -0.019  0.020  0.020  0.015 -0.056 -0.018 -0.002 -0.001 -0.005 -0.012  0.012  0.027  0.030 -0.010
K14  0.042 -0.020  0.033  0.021  0.053  0.011  0.039 -0.005  0.042  0.029 -0.023  0.010  0.099  0.003 -0.001  0.026  0.005  0.015  0.007  0.004 -0.047 -0.006  0.005  0.001 -0.002  0.010  0.022 -0.015  0.025  0.037  0.022  0.021  0.004 -0.018 -0.021 -0.029 -0.055  0.029 -0.004  0.002  0.027 -0.085  0.001 -0.005 -0.005 -0.020 -0.006 -0.051 -0.005  0.031  0.046 -0.020  0.029 -0.042 -0.009  0.012 -0.026 -0.014 -0.046  0.028 -0.009  0.024 -0.018 -0.033 -0.007  0.023  0.007  0.075  0.004  0.026 -0.003  0.018 -0.025  0.032 -0.003  0.068  0.019  0.001  0.006  0.017 -0.017  0.017 -0.022 -0.010  0.007  0.009  0.017  0.082 -0.033  0.034  0.035 -0.015  0.005 -0.006  0.002  0.053 -0.021 -0.008  0.017 -0.035  0.000  0.047  0.047 -0.013 -0.027  0.014 -0.014  0.043 -0.007  0.032  0.004  0.026 -0.027 -0.006  0.004  0.031 -0.012 -0.011  0.021 -0.012  0.008 -0.003  0.015  0.012  0.005  0.006  0.016  0.006 -0.003  0.039  0.026 -0.009  0.005  0.001  0.046 -0.008  0.001  0.021  0.042  0.016 -0.009  0.006  0.048  0.010  0.007  0.024 -0.016  0.020 -0.001  0.039  0.005  0.047 -0.049  0.034 -0.005  0.003  0.005 -0.023 -0.008  0.015  0.020
K12 -0.015 -0.014  0.133  0.052 -0.007 -0.077 -0.092 -0.070 -0.041 -0.020 -0.013  0.064  0.011  0.115  0.017  0.188 -0.063  0.003 -0.001  0.040 -0.033  0.005 -0.020 -0.031 -0.012  0.022 -0.013 -0.015 -0.117  0.023 -0.004 -0.022  0.002 -0.103 -0.007 -0.014  0.077  0.016 -0.003  0.039  0.035  0.065  0.002  0.003  0.043  0.022 -0.014  0.046 -0.003  0.026 -0.023  0.010  0.049  0.071  0.015  0.014  0.003  0.063  0.114  0.002  0.033  0.085  0.045 -0.071  0.014 -0.012  0.000  0.090  0.036  0.002  0.031  0.085  0.004  0.014  0.008 -0.014  0.001  0.019 -0.013 -0.004 -0.068 -0.014 -0.022  0.015 -0.029  0.006 -0.004  0.074  0.005  0.008 -0.030 -0.004 -0.009 -0.001 -0.056  0.036  0.041  0.013  0.081  0.098  0.047  0.000  0.071 -0.015 -0.022  0.003  0.005 -0.055  0.007  0.011 -0.066  0.043 -0.072 -0.012  0.031  0.007  0.130 -0.006  0.077  0.046  0.064  0.028 -0.051  0.077  0.024  0.030  0.016 -0.081 -0.009  0.021 -0.048  0.013  0.047  0.002  0.010  0.038  0.067  0.008 -0.013  0.039 -0.038 -0.063 -0.011  0.037 -0.023  0.026  0.003  0.047 -0.007  0.038 -0.021  0.012  0.099  0.025  0.009  0.016 -0.009 -0.030 -0.082 -0.029 -0.011
K17  0.042  0.018 -0.004  0.019 -0.041  0.046  0.012  0.057  0.013  0.000 -0.007 -0.019  0.020  0.045  0.005 -0.037 -0.015  0.000 -0.024  0.004 -0.012  0.040  0.013  0.018  0.000  0.014  0.018 -0.002  0.024  0.011 -0.006  0.026  0.006 -0.051 -0.094  0.005  0.051  0.004 -0.003  0.016  0.032 -0.054 -0.009 -0.026 -0.014 -0.016  0.000  0.003 -0.008  0.070 -0.024  0.006  0.019 -0.022  0.006  0.008 -0.022 -0.033  0.001 -0.031 -0.012 -0.010 -0.003  0.022 -0.010 -0.022  0.007 -0.030 -0.001  0.011  0.011  0.018 -0.019 -0.002  0.025 -0.012 -0.019 -0.011  0.003 -0.005  0.049  0.003 -0.018  0.029 -0.027 -0.026  0.001 -0.064  0.016  0.003  0.014  0.011  0.018  0.012  0.002  0.083  0.014  0.027 -0.023  0.035  0.047  0.071  0.000  0.104  0.036  0.004 -0.002 -0.008  0.004  0.002 -0.022  0.082  0.079  0.011  0.009 -0.032 -0.031 -0.031  0.018  0.014  0.010  0.024  0.045 -0.034 -0.020  0.007  0.003  0.098 -0.079 -0.022 -0.047 -0.004 -0.036 -0.013 -0.012 -0.050  0.001 -0.011  0.035 -0.024  0.010  0.019 -0.021 -0.008  0.010  0.000  0.040  0.013 -0.022 -0.037 -0.026  0.083 -0.023  0.011 -0.005  0.012 -0.002 -0.021 -0.003 -0.013 -0.014
K14  0.021 -0.019 -0.016  0.010 -0.003  0.033 -0.087 -0.013 -0.070 -0.010 -0.028  0.022  0.106  0.018  0.008  0.014  0.022 -0.035  0.009 -0.017  0.032  0.013  0.058  0.027  0.005  0.010  0.029  0.007 -0.003 -0.031 -0.007 -0.039  0.013 -0.009  0.074 -0.032 -0.024 -0.023 -0.008 -0.058  0.031  0.114  0.042 -0.011  0.001  0.043 -0.008 -0.002  0.012 -0.001 -0.052 -0.034 -0.001  0.096 -0.024 -0.013 -0.040  0.020  0.052  0.016 -0.066 -0.041 -0.019  0.015 -0.012 -0.012  0.015  0.007 -0.008  0.010 -0.003  0.002 -0.015 -0.004  0.009  0.032  0.005  0.020 -0.032  0.055  0.030  0.016 -0.015 -0.021  0.003  0.036  0.067  0.132 -0.002 -0.011  0.004  0.068  0.040  0.007  0.023  0.031  0.017  0.005  0.126  0.057 -0.013 -0.015  0.104  0.000  0.029 -0.007  0.033  0.045  0.013  0.029  0.086  0.076  0.081 -0.019  0.017 -0.014  0.035  0.020  0.020  0.000  0.001 -0.014 -0.063  0.082 -0.023  0.016  0.014 -0.009  0.081  0.043  0.042  0.032 -0.014 -0.004  0.056  0.101 -0.027  0.011  0.014 -0.014  0.066 -0.082 -0.046  0.003  0.041 -0.007  0.008  0.019 -0.028 -0.011  0.015 -0.022 -0.010 -0.006  0.027  0.016 -0.005 -0.057  0.060 -0.003 -0.033
K14 -0.010 -0.002  0.023  0.007  0.043  0.037  0.055  0.024 -0.050 -0.012  0.010  0.055  0.020 -0.009 -0.010 -0.005 -0.015 -0.028 -0.037 -0.001 -0.003 -0.002 -0.034  0.018  0.047 -0.008 -0.048 -0.005  0.027  0.028 -0.018  0.020 -0.010 -0.003  0.004 -0.033  0.067  0.033 -0.015  0.026  0.010  0.029  0.000 -0.028 -0.005  0.045 -0.010  0.002  0.021 -0.037 -0.005 -0.012  0.036 -0.035 -0.027  0.002 -0.008  0.001  0.005 -0.066  0.024  0.015  0.089 -0.014 -0.015  0.026 -0.017 -0.030 -0.003 -0.019 -0.012  0.044  0.023 -0.020 -0.014  0.013 -0.031 -0.013  0.008  0.032  0.030 -0.015  0.026  0.084  0.005 -0.051  0.061  0.013  0.025 -0.029 -0.012  0.009 -0.008  0.037  0.013 -0.011  0.024  0.032  0.033  0.022 -0.027 -0.022  0.036  0.029  0.000  0.019 -0.011 -0.003  0.021  0.001  0.057  0.017 -0.014  0.004 -0.058  0.024  0.040 -0.012  0.030  0.017 -0.014  0.038  0.092 -0.023 -0.033  0.019 -0.019  0.057  0.000  0.058 -0.022 -0.024 -0.016  0.011 -0.007  0.002  0.103 -0.003  0.068 -0.003  0.019 -0.027 -0.001 -0.017  0.006  0.018 -0.039  0.001  0.002 -0.024 -0.011  0.001  0.062 -0.012 -0.019 -0.010 -0.007  0.000  0.013 -0.009  0.060
K16  0.016 -0.011 -0.002 -0.003  0.017  0.007  0.001 -0.004  0.003  0.008  0.003  0.022  0.027  0.004 -0.009 -0.002 -0.024  0.001 -0.004  0.003  0.007  0.013 -0.002  0.012  0.007  0.019 -0.012  0.010 -0.013  0.004  0.004  0.004  0.023 -0.001  0.025  0.032  0.007  0.025 -0.013  0.006  0.013 -0.001 -0.010  0.005  0.011 -0.006 -0.004 -0.024 -0.008  0.008  0.008  0.016  0.013 -0.018  0.001  0.003  0.011 -0.008 -0.024  0.032  0.005 -0.035 -0.013  0.030  0.007  0.043 -0.003  0.016  0.007 -0.016  0.005  0.012  0.005  0.024  0.007  0.009  0.000 -0.006 -0.010 -0.017 -0.006  0.009 -0.012 -0.004 -0.013 -0.007  0.027 -0.004 -0.021 -0.003  0.001  0.035  0.007  0.015 -0.016 -0.017  0.026 -0.009 -0.028 -0.018  0.014  0.003  0.004 -0.007  0.019  0.000 -0.006  0.013  0.008 -0.011  0.009 -0.007  0.007  0.000  0.012 -0.008 -0.024 -0.001 -0.001 -0.012  0.012  0.006 -0.005 -0.012  0.002  0.002  0.039 -0.014  0.003  0.007  0.002  0.002  0.000  0.001 -0.009 -0.013  0.012 -0.004  0.021 -0.010 -0.006  0.013 -0.002  0.000  0.017 -0.003 -0.005 -0.011 -0.002 -0.015 -0.004 -0.007  0.004  0.015 -0.025  0.008  0.000  0.001  0.009 -0.034 -0.006
K11  0.027  0.010 -0.008  0.007  0.000  0.015 -0.026 -0.005  0.041 -0.006  0.000  0.032  0.017 -0.007 -0.021  0.006  0.047 -0.006 -0.009  0.000 -0.043 -0.008 -0.006 -0.010  0.002 -0.012  0.016  0.009 -0.006 -0.035 -0.025 -0.007 -0.011  0.033  0.026 -0.009  0.012 -0.010  0.022 -0.007  0.025  0.008  0.002 -0.001 -0.009 -0.011 -0.018 -0.012  0.014 -0.014 -0.011 -0.022 -0.017 -0.027  0.008  0.010  0.027 -0.011 -0.010 -0.029 -0.003  0.014  0.023 -0.002 -0.012  0.017 -0.013  0.000 -0.002 -0.007 -0.012  0.034 -0.020 -0.003 -0.013  0.028 -0.019 -0.004  0.032  0.004  0.030  0.033  0.035  0.012 -0.021  0.013 -0.019 -0.022 -0.009 -0.015  0.008  0.024 -0.014 -0.009  0.004 -0.044  0.022 -0.019  0.021  0.009 -0.014  0.005 -0.002  0.033 -0.011 -0.006  0.000  0.004 -0.002 -0.012 -0.018 -0.001 -0.015 -0.009  0.004  0.012 -0.064  0.028 -0.003  0.030 -0.016 -0.006 -0.013  0.019 -0.008 -0.008 -0.002 -0.020  0.012 -0.003 -0.006  0.001  0.008 -0.006 -0.002  0.015  0.005 -0.008  0.009  0.020  0.017  0.000  0.033  0.004  0.016  0.031 -0.005  0.022 -0.004  0.037  0.002 -0.023  0.009 -0.012 -0.012 -0.004 -0.004  0.001 -0.005  0.003 -0.040
K14  0.047  0.016 -0.026  0.073  0.040 -0.005  0.022  0.023 -0.055  0.002 -0.047 -0.022  0.001 -0.002  0.003  0.009 -0.027  0.043  0.007 -0.030 -0.027 -0.010 -0.015  0.060  0.000 -0.017  0.024  0.015 -0.104  0.027  0.064 -0.010  0.003  0.001  0.065  0.024 -0.062  0.044  0.045  0.053  0.008  0.008 -0.004 -0.031 -0.007  0.041 -0.024 -0.035  0.008  0.041  0.040  0.036 -0.010  0.003  0.016  0.008 -0.014  0.062  0.046 -0.033 -0.013 -0.045  0.027  0.005  0.041 -0.004  0.014 -0.001 -0.015 -0.005 -0.002  0.049  0.003  0.035  0.006  0.118  0.003  0.033 -0.021  0.027 -0.012  0.004 -0.017 -0.018 -0.013  0.012  0.026  0.036 -0.024  0.002  0.019 -0.036  0.003 -0.018 -0.005  0.037  0.033 -0.002  0.028 -0.028  0.043 -0.055 -0.008  0.045 -0.003  0.013  0.004  0.000  0.014 -0.037 -0.010  0.023  0.017  0.020  0.051  0.033 -0.058  0.042  0.018 -0.014  0.030 -0.011 -0.013  0.003  0.008 -0.011  0.001  0.029 -0.034  0.013 -0.011 -0.008  0.017 -0.005  0.014  0.023  0.081 -0.014  0.050 -0.022  0.034 -0.009  0.031 -0.008  0.036  0.040 -0.001 -0.013  0.006  0.003  0.010  0.026 -0.068 -0.027 -0.035 -0.004 -0.031  0.006  0.008  0.056  0.040
K10  0.010 -0.011 -0.026  0.005  0.000 -0.020 -0.010 -0.005 -0.009 -0.013 -0.001 -0.008 -0.019  0.001  0.011  0.019  0.001 -0.015  0.001 -0.012 -0.004  0.003  0.002 -0.009  0.007  0.031 -0.006 -0.003  0.022 -0.014  0.004 -0.010  0.012  0.018 -0.003 -0.007 -0.015  0.013 -0.011  0.029 -0.010  0.000 -0.006 -0.007 -0.006 -0.011 -0.004 -0.017 -0.002  0.010 -0.004  0.032 -0.003  0.046 -0.011 -0.003  0.020 -0.007  0.048 -0.012 -0.004 -0.006  0.028  0.004  0.012  0.011  0.007  0.004 -0.001 -0.004 -0.005  0.021  0.034  0.002  0.002  0.018  0.002 -0.010 -0.001  0.008  0.001  0.010 -0.014 -0.009  0.011 -0.010  0.008 -0.017 -0.016 -0.010  0.045  0.020 -0.007 -0.003 -0.019 -0.010 -0.012  0.036 -0.056 -0.031 -0.007  0.007  0.004  0.013  0.021  0.008 -0.002  0.014  0.000  0.019  0.016 -0.004  0.005  0.002  0.002 -0.009 -0.003 -0.014  0.027 -0.007  0.003  0.002 -0.027 -0.015 -0.010 -0.005  0.007 -0.003  0.026 -0.013 -0.007 -0.001  0.002  0.001  0.007  0.007  0.000  0.010  0.002  0.020 -0.017  0.015  0.018 -0.001 -0.014 -0.003 -0.005 -0.010 -0.005 -0.016 -0.003 -0.029  0.013  0.003 -0.004  0.018 -0.003 -0.010  0.015  0.011  0.013
K12 -0.030  0.000  0.036 -0.006 -0.024 -0.018 -0.017 -0.012 -0.001  0.029 -0.020 -0.011  0.042  0.020  0.006  0.001 -0.005  0.005 -0.003 -0.007 -0.003 -0.010 -0.006 -0.004  0.010 -0.010 -0.009 -0.011 -0.017 -0.003  0.028  0.025 -0.001 -0.007  0.034 -0.037 -0.032  0.030 -0.003 -0.009  0.005  0.007 -0.001  0.005 -0.017  0.011 -0.006 -0.013 -0.018  0.012  0.001 -0.008  0.038  0.000  0.028 -0.019 -0.016  0.019  0.021  0.018  0.012 -0.025  0.047  0.012 -0.002 -0.015 -0.008 -0.005  0.009 -0.013  0.004  0.032  0.011  0.005 -0.002 -0.017 -0.010 -0.008 -0.025 -0.006 -0.003 -0.009 -0.021 -0.009  0.021  0.014  0.006 -0.003 -0.018  0.007  0.024 -0.024 -0.001 -0.012 -0.016 -0.014 -0.012 -0.005 -0.038 -0.002  0.032  0.011  0.002  0.029  0.001 -0.011 -0.012 -0.037  0.019  0.000  0.019 -0.023 -0.009  0.010 -0.019 -0.029  0.036  0.002  0.010  0.000 -0.007 -0.010  0.010 -0.011  0.007 -0.003 -0.007 -0.038 -0.005  0.017 -0.003  0.002  0.019 -0.002 -0.005  0.017 -0.013  0.001  0.024 -0.012  0.008  0.014  0.003  0.017  0.006 -0.004 -0.010  0.001  0.007  0.031  0.002 -0.045  0.003 -0.003  0.004  0.002  0.018  0.041  0.001  0.030 -0.022
K16 -0.017  0.025  0.042  0.019  0.071  0.010  0.032  0.025  0.055  0.004 -0.019  0.009 -0.024  0.039 -0.031 -0.035 -0.024 -0.009 -0.012 -0.001 -0.022  0.002 -0.071 -0.027 -0.011  0.002 -0.036 -0.003 -0.008 -0.007  0.009  0.017 -0.022 -0.013 -0.018  0.046  0.130 -0.016  0.193 -0.019  0.001 -0.055 -0.053  0.002  0.002 -0.003 -0.006  0.031 -0.007 -0.110 -0.005 -0.017  0.063  0.024  0.038  0.010 -0.050  0.017  0.009  0.062 -0.124 -0.013 -0.015  0.122  0.025  0.014 -0.002  0.015  0.012 -0.008 -0.003  0.046 -0.004  0.010  0.001  0.005  0.009 -0.004 -0.005  0.013 -0.015 -0.008 -0.010 -0.013  0.018 -0.004  0.031  0.039  0.019 -0.008  0.000 -0.068 -0.005 -0.020 -0.021  0.029 -0.009  0.026  0.058 -0.009  0.004 -0.066 -0.022  0.086  0.057  0.009 -0.018 -0.010  0.016  0.019  0.000  0.151  0.006  0.007  0.009  0.047  0.123 -0.017  0.039  0.006 -0.019  0.007 -0.021 -0.052  0.007 -0.011  0.011  0.133 -0.174 -0.017 -0.058  0.031  0.026 -0.010  0.068 -0.012  0.062 -0.014  0.012 -0.047  0.004 -0.003  0.007  0.022 -0.014  0.013 -0.027  0.048 -0.047 -0.062 -0.015 -0.040  0.052 -0.008 -0.003  0.029 -0.004  0.105 -0.025  0.029 -0.006
K11  0.035 -0.044  0.015 -0.041  0.075 -0.028  0.045 -0.007  0.049 -0.002  0.031 -0.028  0.044  0.055 -0.009  0.057 -0.004  0.035  0.013  0.003  0.101 -0.005  0.051 -0.056  0.038  0.023  0.034  0.013  0.040 -0.012  0.043  0.011  0.028 -0.033  0.110  0.024  0.052  0.019 -0.014 -0.021 -0.016  0.052  0.028  0.049 -0.024 -0.013  0.004  0.041  0.004 -0.046  0.004 -0.006  0.021  0.023  0.032 -0.003 -0.034  0.008  0.009 -0.085  0.027  0.036 -0.010 -0.039 -0.008 -0.002 -0.017 -0.016 -0.037  0.006 -0.010  0.103  0.014  0.027  0.009 -0.042 -0.011 -0.001  0.023  0.120 -0.005  0.009 -0.006  0.019  0.030  0.068 -0.001 -0.042  0.045  0.012 -0.035  0.061  0.001  0.000  0.002  0.003 -0.038 -0.015  0.089 -0.019  0.026  0.043  0.082  0.076  0.017 -0.007 -0.001  0.023 -0.004 -0.023  0.151  0.000  0.025  0.008  0.012  0.126  0.029  0.046 -0.016 -0.065  0.050 -0.010  0.001  0.070 -0.007  0.022  0.025 -0.090  0.024  0.007  0.074 -0.027 -0.026  0.019 -0.009  0.012  0.048  0.011 -0.065 -0.001  0.030 -0.021 -0.006 -0.011 -0.040 -0.023  0.025  0.011 -0.025 -0.033 -0.035 -0.017  0.013  0.002  0.054  0.006 -0.007  0.048 -0.002 -0.067  0.045
K13  0.012  0.030  0.002  0.015  0.017  0.030  0.013 -0.016  0.021  0.013  0.007 -0.011  0.017  0.028  0.021 -0.014  0.020 -0.021 -0.014  0.014 -0.022  0.015 -0.002  0.021 -0.009  0.011  0.007 -0.005 -0.012  0.020  0.000  0.038  0.001  0.027 -0.013  0.006 -0.022  0.009  0.006  0.068  0.045 -0.035  0.002 -0.014 -0.015  0.011 -0.010 -0.011 -0.003 -0.061 -0.002 -0.005  0.012  0.079 -0.011  0.025  0.006 -0.015  0.036  0.078  0.013 -0.048 -0.035 -0.030 -0.030 -0.013  0.002  0.001  0.010 -0.006  0.000  0.008 -0.011 -0.001 -0.021 -0.017  0.015  0.003  0.023  0.011 -0.010  0.000 -0.003  0.016  0.017 -0.024  0.007 -0.026 -0.024 -0.011 -0.007 -0.015  0.018  0.010  0.002  0.023  0.004  0.012  0.050 -0.015 -0.027 -0.072  0.079  0.081 -0.014  0.007 -0.015  0.017  0.005 -0.009  0.006  0.025  0.000 -0.004  0.006  0.044  0.045 -0.005 -0.006  0.024  0.001 -0.007  0.018 -0.026 -0.022  0.002  0.006 -0.031  0.008 -0.009  0.033  0.016  0.005  0.008  0.070 -0.022 -0.006 -0.013 -0.008  0.028 -0.004 -0.029 -0.029  0.003 -0.015  0.012  0.012  0.015  0.010 -0.014  0.023  0.023  0.007  0.019 -0.010 -0.005 -0.008  0.004 -0.023 -0.039 -0.021
K16 -0.023  0.022  0.001 -0.004  0.019  0.017 -0.020 -0.044 -0.017 -0.013 -0.014 -0.026  0.013 -0.018  0.014  0.000  0.014 -0.018  0.006 -0.007 -0.029 -0.005  0.002  0.000  0.011 -0.014  0.038 -0.009 -0.041 -0.032  0.027  0.005  0.003  0.011 -0.006 -0.021 -0.033 -0.011  0.002 -0.023  0.003  0.009  0.001  0.021  0.011  0.017  0.009  0.027 -0.015  0.043 -0.030 -0.004 -0.020 -0.049 -0.025 -0.012  0.013  0.021 -0.005  0.009 -0.008 -0.005  0.005  0.008  0.005 -0.017  0.053 -0.002  0.001  0.018 -0.010 -0.002  0.011  0.012  0.008  0.025  0.004 -0.015 -0.002  0.023 -0.021 -0.016  0.000  0.014 -0.022 -0.001  0.026 -0.008  0.049 -0.002 -0.014 -0.005  0.012  0.006  0.010  0.003  0.035  0.012  0.026  0.040 -0.006 -0.012  0.011 -0.019  0.004  0.000 -0.009  0.020  0.002  0.010  0.007  0.008 -0.004  0.000 -0.008  0.011  0.028 -0.018  0.002 -0.008  0.023  0.011  0.008  0.027  0.000 -0.004  0.000 -0.004 -0.003  0.013  0.012 -0.005 -0.005 -0.001  0.018 -0.002  0.026  0.009  0.035 -0.004  0.035 -0.017  0.003 -0.005 -0.008  0.005  0.026  0.003  0.008 -0.001 -0.007  0.011  0.021 -0.005 -0.004 -0.005  0.012 -0.015  0.003 -0.009  0.005
K16  0.000  0.035  0.004  0.001  0.023  0.036  0.020 -0.033  0.002  0.004  0.002 -0.012  0.057  0.013  0.090  0.026  0.006 -0.027  0.000  0.003  0.014 -0.019  0.000 -0.029 -0.012  0.012  0.017 -0.002  0.061 -0.007  0.024 -0.004  0.019  0.048 -0.039 -0.006  0.076 -0.034 -0.021  0.015  0.050  0.015 -0.009  0.017 -0.010  0.016 -0.017 -0.046 -0.014 -0.016  0.066  0.056  0.021  0.001  0.011  0.011  0.033  0.025  0.053 -0.044 -0.024  0.039 -0.012  0.007 -0.029  0.020  0.009 -0.045 -0.004 -0.013  0.011 -0.027  0.020 -0.012  0.002 -0.052 -0.003  0.021 -0.017 -0.015  0.043 -0.007  0.000  0.003  0.048 -0.001 -0.012  0.004  0.038  0.006 -0.033 -0.001 -0.003 -0.013 -0.030  0.017 -0.031 -0.027  0.083 -0.012  0.004  0.031  0.009  0.017 -0.058  0.012  0.004  0.051  0.002 -0.019  0.009  0.012  0.006 -0.008  0.000 -0.024 -0.064  0.001  0.042 -0.004 -0.014  0.005 -0.028  0.045 -0.031 -0.010 -0.011  0.052 -0.015 -0.030 -0.047  0.005 -0.016  0.002 -0.039 -0.018  0.025  0.016 -0.024  0.001 -0.005 -0.004 -0.013 -0.003  0.023 -0.004  0.004  0.001 -0.004  0.033 -0.012  0.034 -0.013  0.016 -0.020  0.000 -0.003 -0.042  0.012  0.036 -0.012
K12  0.009 -0.025  0.010 -0.001  0.046  0.006  0.003  0.054 -0.062 -0.003  0.026  0.068 -0.012 -0.001 -0.046 -0.035 -0.041  0.048  0.002  0.014  0.008 -0.017  0.013  0.013  0.000  0.010 -0.053 -0.013  0.069  0.044 -0.010 -0.030 -0.026 -0.002  0.070  0.067  0.075 -0.034 -0.106  0.060  0.014  0.034 -0.015  0.071  0.025 -0.004 -0.014  0.030  0.006  0.056 -0.043 -0.010 -0.010 -0.044  0.003 -0.001 -0.010 -0.010  0.109  0.012  0.023  0.025 -0.030  0.013 -0.020 -0.030 -0.044  0.039 -0.039 -0.025  0.003 -0.016 -0.017  0.062 -0.020  0.010  0.010  0.010 -0.026  0.038 -0.007  0.019  0.041  0.011  0.018  0.017  0.053  0.024  0.002  0.030  0.053  0.050  0.021  0.012  0.028 -0.005  0.007  0.022  0.027  0.096  0.031  0.007 -0.032 -0.014  0.024 -0.008  0.012  0.033 -0.009 -0.029  0.047  0.126  0.044  0.011 -0.024  0.000  0.053 -0.085  0.043  0.049  0.007 -0.006 -0.054  0.032  0.045 -0.005 -0.025 -0.018 -0.003 -0.010  0.025  0.014  0.000  0.014 -0.004  0.094  0.018  0.006 -0.015 -0.008  0.014  0.021 -0.020  0.027  0.018 -0.012 -0.030  0.036  0.014 -0.068 -0.039 -0.089 -0.021 -0.031  0.017  0.018 -0.006 -0.049  0.053  0.041  0.041
K16  0.100 -0.018 -0.070 -0.011  0.009  0.054 -0.010  0.021 -0.029  0.017  0.018 -0.005 -0.021 -0.074  0.036 -0.060  0.030  0.000 -0.028 -0.025 -0.078 -0.014  0.015  0.016  0.020  0.013 -0.004  0.009  0.055  0.011 -0.042  0.001 -0.012  0.000 -0.016  0.042  0.026  0.009 -0.033 -0.039 -0.027  0.015  0.012 -0.019 -0.005 -0.031 -0.028 -0.090  0.013 -0.021 -0.027 -0.058 -0.041  0.092  0.084  0.076 -0.023  0.057  0.120 -0.046  0.053 -0.052  0.009  0.004 -0.007  0.010  0.063 -0.048  0.045  0.006  0.028  0.064 -0.030  0.020  0.011  0.043  0.012  0.020 -0.023 -0.031 -0.004 -0.001  0.025 -0.006  0.033  0.004 -0.079  0.109 -0.066  0.012  0.017 -0.031  0.003  0.001  0.002 -0.038  0.009 -0.017 -0.002  0.004 -0.012  0.130 -0.031  0.035  0.040 -0.024 -0.064 -0.058 -0.003  0.036  0.123  0.029  0.045  0.028 -0.064  0.053  0.000 -0.025 -0.033 -0.044  0.028  0.019 -0.003  0.039  0.041 -0.013  0.006  0.064  0.024 -0.028 -0.053  0.039  0.014 -0.004 -0.008  0.002  0.015  0.002  0.009  0.023  0.018 -0.018  0.037  0.002  0.048  0.032 -0.013 -0.014 -0.002 -0.084 -0.002 -0.039  0.042 -0.022  0.014 -0.014  0.004 -0.037 -0.041  0.056 -0.086
