"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"P76",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262736.8421,359298.2456,1111578.947,490827.0677,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,13938.29401,0,0,0,0,0,0,0,0,0,0
"P78",0,0,0,0,0,0,0,0,0,121263.1579,0,28872.18045,0,0,0,0,0,0,0,0,0,0,0,0,14436.09023,0,0,0,0,0,0,0,0,0,25263.15789,0,0,0,28872.18045,173233.0827,16842.10526,0,0,80842.10526,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124.401914,42105.26316,0,0,0,0
"P79",0,0,0,0,0,0,0,0,0,0,0,14436.09023,20210.52632,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25263.15789,20210.52632,134736.8421,67368.42105,28872.18045,0,0,0,50526.31579,0,0,101052.6316,0,0,0,0,0,0,55119.61722,0,0,0,0,0,0,0,0,0,101052.6316,50526.31579,0,0,0,0,0,0,0,12248.80383,0,21274.23823,0,0,0
"P81",50526.31579,1010526.316,230977.4436,0,920701.7544,687157.8947,640000,1374315.789,848842.1053,282947.3684,421052.6316,173233.0827,565894.7368,282947.3684,101052.6316,461954.8872,404210.5263,202105.2632,161684.2105,259849.6241,151578.9474,572631.5789,257224.8804,389774.4361,447518.797,579368.4211,707368.4211,471578.9474,173233.0827,336842.1053,437894.7368,635187.9699,673684.2105,215144.3124,303157.8947,343578.9474,314385.9649,168421.0526,202105.2632,1068270.677,791578.9474,404210.5263,0,0,875789.4737,0,0,8690526.316,6265263.158,5793684.211,1738105.263,1392280.702,1231004.785,2197894.737,898245.614,1010526.316,741052.6316,1515789.474,866165.4135,202105.2632,1162105.263,656842.1053,1515789.474,1566315.789,1364210.526,612440.1914,599346.6425,423157.8947,1174736.842,1994105.263,1031800.554,1022775.12,1212631.579,1404099.723,1288421.053,1347368.421,960000
"P85",0,0,0,0,0,0,0,0,0,13473.68421,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,346466.1654,107789.4737,202105.2632,1257543.86,0,0,0,0,0,45636.67233,12631.57895,0,0,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,107789.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6124.401914,6969.147005,0,0,0,10637.11911,0,0,0,25263.15789,67368.42105,0
"P86",0,0,0,0,0,60631.57895,11228.07018,40421.05263,0,0,50526.31579,14436.09023,0,0,0,0,0,0,0,28872.18045,0,0,0,0,57744.3609,80842.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373.20574,0,44912.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,28872.18045,0,0,67368.42105,0,0,0,0,0,0,22456.14035,91866.02871,0,22456.14035,0,0,0,28872.18045,0,0,0,0,0,0,12248.80383,13938.29401,6315.789474,25263.15789,13473.68421,85096.95291,12248.80383,8421.052632,0,50526.31579,0,0
"P90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,80842.10526,0,40421.05263,28872.18045,0,0,0,0,0,13473.68421,16842.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,50526.31579,67368.42105,0,67368.42105,202105.2632,0,0,0,0,0,0,0,0,0,12631.57895,0,40421.05263,10637.11911,0,16842.10526,21274.23823,0,0,0
"P92",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28872.18045,0,0,0,0,0,0,18373.20574,28872.18045,101052.6316,26947.36842,117894.7368,0,0,0,0,0,0,13039.04924,101052.6316,20210.52632,0,134736.8421,57744.3609,28872.18045,33684.21053,9624.06015,0,0,67368.42105,0,0,101052.6316,0,67368.42105,13473.68421,0,36746.41148,25263.15789,0,0,0,0,86616.54135,0,0,0,0,50526.31579,303157.8947,0,6969.147005,0,0,0,10637.11911,6124.401914,0,0,0,0,0
"P94",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,40421.05263,0,0,0,0,67368.42105,0,13473.68421,0,0,25263.15789,44912.2807,0,0,0,28872.18045,134736.8421,0,0,0,0,0,0,6969.147005,0,12631.57895,13473.68421,0,0,8421.052632,0,0,33684.21053,0
"P95",0,0,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339015.2801,75789.47368,0,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P96",0,0,0,0,0,0,0,0,0,107789.4737,134736.8421,158796.9925,80842.10526,0,0,0,0,0,0,28872.18045,227368.4211,505263.1579,440956.9378,519699.2481,14436.09023,13473.68421,0,134736.8421,0,0,33684.21053,0,0,84753.82003,138947.3684,161684.2105,89824.5614,269473.6842,86616.54135,57744.3609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18373.20574,16842.10526,0,0,0,0
"P104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151578.9474,323368.4211,538947.3684,0,303157.8947,0,0,0,13473.68421,22456.14035,0,25263.15789,0,202105.2632,67368.42105,101052.6316,115488.7218,0,50526.31579,202105.2632,151578.9474,101052.6316,50526.31579,0,0,0,0,0,0,0,0,21274.23823,0,0,0
"P106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9624.06015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0
"P107",0,0,0,0,0,0,0,0,0,0,16842.10526,43308.27068,0,0,0,0,40421.05263,0,0,0,25263.15789,33684.21053,36746.41148,14436.09023,28872.18045,0,0,67368.42105,0,0,0,0,0,6519.524618,50526.31579,40421.05263,22456.14035,33684.21053,28872.18045,28872.18045,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,25263.15789,0,0,0,0,28872.18045,202105.2632,0,0,0,0,0,6124.401914,6969.147005,6315.789474,138947.3684,40421.05263,31911.35734,18373.20574,8421.052632,0,0,0,0
"P109",0,0,0,0,0,0,0,0,40421.05263,0,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20210.52632,0,0,0,0,16842.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P110",0,0,0,0,22456.14035,80842.10526,22456.14035,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89824.5614,28872.18045,33684.21053,0,0,0,13039.04924,0,20210.52632,22456.14035,0,28872.18045,28872.18045,0,0,151578.9474,40421.05263,0,404210.5263,50526.31579,0,0,0,13473.68421,0,0,0,0,0,67368.42105,101052.6316,0,0,0,0,0,0,151578.9474,0,0,12631.57895,25263.15789,0,0,0,0,0,0,0,0
"P111",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57744.3609,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,86616.54135,202105.2632,0,19248.1203,0,0,0,0,0,0,0,0,0,0,18373.20574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
