,TN,TP,Algae,Cyanobacteria,Rotifer,Cladocera,Copepod
95,0.36,0.051,0.692307692,1,0.333333333,0.666666667,0.571428571
96,0.421,0.055,0.785714286,1,0.666666667,0,0.571428571
97,0.555,0.063,0.827586207,1,0.5,0.5,0.333333333
98,0.483,0.055,0.827586207,0.75,0.545454545,0.5,0.333333333
99,0.616,0.02,0.583333333,0.333333333,0.545454545,0.666666667,0.571428571
100,0.709,0.027428,0.692307692,0.333333333,0.769230769,0.666666667,0.571428571
101,0.647,0.007842,0.64,0.333333333,0.769230769,0.5,0.571428571
102,0.36,0.0195936,0.583333333,0.333333333,0.727272727,0.5,0.571428571
103,0.092,0.047,0.736842105,0.888888889,0.666666667,0,0.571428571
104,0.236,0.043,0.8,0.857142857,0.666666667,0,0.333333333
105,0.082,0.039,0.866666667,0.857142857,0.666666667,0,0.4
106,0.215,0.031,0.833333333,0.857142857,0.666666667,0,0.571428571
107,0.298,0.043,0.785714286,0.857142857,0.6,0,0.333333333
108,1.714,0.043,0.785714286,0.75,0.5,0.666666667,0.571428571
109,1.55,0.051,0.740740741,0.571428571,0.727272727,0.4,0.333333333
110,1.714,0.039,0.64,0.571428571,0.571428571,0.4,0.571428571
111,1.601,0.039,0.692307692,0.571428571,0.545454545,0.4,0.571428571
112,1.653,0.031,0.740740741,0.333333333,0.5,0.4,0.571428571
113,1.848,0.039,0.740740741,0.75,0.4,0.4,0.571428571
114,0.094,0.043,0.740740741,0.571428571,0.666666667,0.4,0.333333333
115,0.154,0.043,0.785714286,0.4,0.769230769,0.4,0.571428571
116,0.113,0.035,0.866666667,0.571428571,0.769230769,0.4,0.571428571
117,0.339,0.047,0.903225806,0.75,0.666666667,0.4,0.75
118,0.493,0.051,0.866666667,0.75,0.5,0.4,0.75
119,0.349,0.043,0.827586207,0.571428571,0.5,0.4,0.75
120,0.452,0.031,0.866666667,0.571428571,0.545454545,0.4,0.75
121,0.031,0.016,0.785714286,0.571428571,0.4,0.4,0.75
122,0.442,0.047,0.869565217,0.75,0.6,0,0.888888889
123,0.544,0.035,0.869565217,0.75,0.6,0,0.888888889
124,0.688,0.043,0.909090909,0.75,0.666666667,0,0.75
125,0.586,0.047,0.827586207,0.75,0.4,0.4,0.571428571
126,0.298,0.047,0.827586207,0.571428571,0.4,0.4,0.571428571
127,0.678,0.043,0.785714286,0.571428571,0.4,0.4,0.571428571
128,0.421,0.055,0.866666667,0.571428571,0.4,0.4,0.571428571
129,0.298,0.051,0.740740741,0.571428571,0.444444444,0,0.4
130,0.236,0.051,0.866666667,0.571428571,0.5,0,0.4
131,0.257,0.051,0.866666667,0.571428571,0.5,0,0.4
