,Z1,Z2,Z3,Z4,Z5,Z7,Z8,Z9,Z11,Z16,Z22,Z26,Z32,Z38,Z39,Z40,Z41,Z44
DJS03,0,23.55555556,0.592592593,0,0.148148148,0.148148148,0,0.148148148,0,0,0,3.111111111,0,0,0.296296296,0.148148148,0,0
GZ05,0,0.444444444,0,0,0,1.777777778,10.66666667,2.666666667,0,0,0.148148148,1.037037037,0,0.148148148,0.444444444,0,0.148148148,0.148148148
WSJ01,0,5.333333333,0,0,2.222222222,23.77777778,2.296296296,0,0,0,0,0.148148148,0,0,0.814814815,0,0.296296296,0.222222222
WSJ02,0,2.37037037,0,0,0.296296296,7.555555556,2.814814815,0,0,0,0,0.148148148,0,0,2.666666667,0,0.148148148,0.148148148
WSJ03,0,2.222222222,0,0,0.296296296,1.481481481,3.111111111,0,0,0,0,0.148148148,0,0,0.444444444,0,0.148148148,0.148148148
HCJ01,0,1.259259259,0,0,0.148148148,0.740740741,0.888888889,0,0,0,0,0.148148148,0,0,0.074074074,0,0,0.148148148
HCJ02,0,0.814814815,0,0,0.074074074,0.592592593,0.814814815,0,0,0,0,0.148148148,0,0,0.37037037,0,0,0
HCJ03,0,1.481481481,0,0,0.074074074,0.444444444,1.185185185,0,0,0,0,0.592592593,0,0,0.222222222,0,0,0
HCJ04,0,1.481481481,0,0,0.444444444,1.037037037,0.592592593,0,0,0.148148148,0,0.148148148,0,0,0.740740741,0,0,0.148148148
SK01,0,0,0,0,3.851851852,12.44444444,0.888888889,1.777777778,0,0,0,0,0,0,0,0,0,0.296296296
QSJ01,0,3.259259259,0.148148148,0,29.92592593,42.81481481,0,1.037037037,0.148148148,0,0,5.185185185,0,0,0,0,0.592592593,6.814814815
QSJ02,0,5.037037037,0.296296296,0,88,197.6296296,0,4.148148148,0,0,0.296296296,21.03703704,0,0,0,0,0.592592593,14.22222222
QSJ03,0,4.740740741,0.296296296,0,124.4444444,241.1851852,0,0.296296296,0,0,0,6.814814815,0,0,0,0,0.296296296,11.55555556
NWL01,0,0.296296296,1.037037037,0.296296296,10.96296296,12,4.740740741,0.148148148,0,0,0,0.296296296,0,0,0.592592593,0,0.296296296,0.296296296
NWL02,0,26.51851852,0.148148148,0,17.48148148,7.703703704,2.074074074,0,0,0,0,0.148148148,0,0,0.296296296,0,0.148148148,0
NWL03,0,78.37037037,0.148148148,0,37.62962963,7.703703704,3.111111111,0,0,0,0,0.148148148,0,0,0.148148148,0,0.148148148,0
DGB01,0,0,0.444444444,0.222222222,0.222222222,0.666666667,1.111111111,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222,1.555555556,0,0.444444444,0
DGB02,0,0,0,0.444444444,0.222222222,0.222222222,1.333333333,0,12,0.222222222,0.222222222,0.222222222,0.222222222,0.666666667,1.777777778,0,0,0
DGB03,0,0,0,0.444444444,0.222222222,0.222222222,0.444444444,0,0,0.444444444,0.222222222,0.666666667,0.222222222,0.222222222,0.444444444,0,0,0.444444444
NLL01,0,0,0,0,0,0.222222222,0.666666667,0.444444444,0,0,0.222222222,0.222222222,0,0,0.222222222,0,0,0.222222222
NLL02,0,0,0,0.888888889,0,0.222222222,0.222222222,0.888888889,0,0,0.222222222,0.222222222,0,0,1.111111111,0,0,0.222222222
NLL03,0,0,0,0,0,0.444444444,0.666666667,0.444444444,0,0.222222222,0.222222222,0.444444444,0,0,0.222222222,0,0,0.222222222
WN01,0,0.296296296,0.148148148,0,0.148148148,0.444444444,3.703703704,0,0.740740741,0,0,0.296296296,0.592592593,0.296296296,1.037037037,0,0,0
WN02,0,5.333333333,2,0,0.222222222,1.777777778,17.11111111,0,1.333333333,0,0,0.888888889,1.777777778,0.444444444,2.666666667,0,0,0
WN03,0,22.07407407,0.296296296,0,0.296296296,1.037037037,13.92592593,0,0.148148148,0,0,0.148148148,0.148148148,5.62962963,0.444444444,0,0,0
BT01,0,0.037037037,0.074074074,0,0.185185185,0.777777778,0.222222222,0,0.148148148,0,0,0,0,0.148148148,0.185185185,0,0.111111111,0.037037037
BT02,0,4.888888889,0.074074074,0,0.148148148,2.666666667,0.222222222,0,0.074074074,0,0,0,0,0.148148148,0.37037037,0,0.074074074,0
BT03,0,12.44444444,0.444444444,0,0.296296296,2.074074074,0.592592593,0,0.148148148,0,0,0,0,1.333333333,0.296296296,0,0.148148148,0
