,Z72,Z73,Z76,Z77,Z79,Z80,Z82,Z84,Z85,Z86,Z89,Z91,Z92
NWL02,0,0,0,0,0,9.185185185,0,0,0,0,0.740740741,0,4.888888889
NWL03,0,0,0,0,0,9.333333333,0,0,0,0,0.296296296,0,4.444444444
DGB01,0,0,0,28.88888889,0.888888889,12,0,18,0,11.55555556,0.444444444,0,13.55555556
DGB02,0,0,0,13.77777778,0.444444444,52.44444444,0,8.444444444,2.444444444,4,0,0,15.33333333
DGB03,0,0,0,12.22222222,1.333333333,18.88888889,0,8.888888889,3.111111111,4.666666667,0,0,13.55555556
NLL01,0,0,0,7.333333333,0.444444444,43.33333333,2.444444444,0,3.555555556,2.444444444,0,0,26
NLL02,0,0,0,4,0.666666667,20.88888889,1.555555556,0,0,3.555555556,0,0,14.44444444
NLL03,0,0,0,8.222222222,0.444444444,31.77777778,3.111111111,0,1.111111111,3.555555556,0,0,18
WN01,0,0,0,2.222222222,0,10.81481481,1.037037037,0,0,0,0,0,4.444444444
WN02,0,0,0,2.444444444,0,14.88888889,0.222222222,0,0,0,0,0,6.222222222
WN03,0,0,0,0.148148148,0,5.481481481,0,0,0,0.148148148,0,0,1.62962963
BT01,0,0,0,0.185185185,0,4.037037037,0.074074074,0,0.037037037,0.407407407,0,0,0.518518519
BT02,0,0,0,0.296296296,0,10.51851852,0.074074074,0,0.148148148,0.074074074,0,0,0.740740741
BT03,0,0,0,1.481481481,0,20.14814815,1.925925926,0,0.148148148,0.296296296,0,0,2.962962963
