"","XH01","XH03","XH04","XH05","DQH01","DQH02","DQH03","DQH04","DQH05","QDH01","QDH02","QDH06","QDH07","QDH08","QDH09","QD01","QD02","QD03","QD04","QD05","NX01","NX02","NX03","NX06","SSLJH01","SSLJH02","SSLJH03","SSLJH04","DZ01","DZ02","DZ03","DZ04","DZ05","SM01","SM02","SM03","SM04","SM05","SM06","TX01","TX02","TX03","DSH01","DSH02","DSH03","DSH04","DSH05","DJS01","DJS02","DJS03","GZ05","WSJ01","WSJ02","WSJ03","HCJ01","HCJ02","HCJ03","HCJ04","SK01","QSJ01","QSJ02","QSJ03","NWL01","NWL02","NWL03","DGB01","DGB02","DGB03","NLL01","NLL02","NLL03","WN01","WN02","WN03","BT01","BT02","BT03"
"C246",0,0,0,0,269473.6842,0,538947.3684,0,202105.2632,13473.68421,33684.21053,0,0,60631.57895,0,0,363789.4737,101052.6316,525473.6842,230977.4436,0,0,0,0,0,0,0,22456.14035,7853233.083,8084210.526,9263157.895,8170827.068,10172631.58,19558.57385,12631.57895,80842.10526,224561.4035,1246315.789,895037.594,28872.18045,0,0,1515789.474,1172210.526,875789.4737,2172631.579,1263157.895,808421.0526,134736.8421,269473.6842,175157.8947,3480701.754,2590622.01,4471578.947,4760701.754,2560000,2560000,2223157.895,375338.3459,1616842.105,1313684.211,2223157.895,5658947.368,5002105.263,6366315.789,73492.82297,34845.73503,50526.31579,568421.0526,956631.5789,446759.0028,220478.4689,395789.4737,170193.9058,2880000,3402105.263,3486315.789
"C248",0,0,0,0,0,0,0,0,0,0,0,0,0,20210.52632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,19248.1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C249",1010526.316,3941052.632,1154887.218,1818947.368,224561.4035,0,101052.6316,404210.5263,0,13473.68421,0,0,0,40421.05263,0,0,0,0,40421.05263,0,0,0,0,346466.1654,1126015.038,363789.4737,673684.2105,943157.8947,0,0,0,0,33684.21053,0,0,0,22456.14035,33684.21053,0,144360.9023,117894.7368,28872.18045,0,0,538947.3684,50526.31579,404210.5263,0,0,0,0,44912.2807,128612.4402,126315.7895,179649.1228,67368.42105,538947.3684,0,664060.1504,5389473.684,3233684.211,404210.5263,2425263.158,2223157.895,11722105.26,183732.0574,0,0,0,107789.4737,0,0,176842.1053,1319002.77,505263.1579,741052.6316,429473.6842
"C250",0,1616842.105,837293.2331,1347368.421,0,0,0,80842.10526,121263.1579,0,117894.7368,43308.27068,0,121263.1579,0,0,0,0,0,0,0,0,0,0,173233.0827,80842.10526,303157.8947,44912.2807,0,0,0,0,0,19558.57385,12631.57895,20210.52632,0,33684.21053,0,0,0,0,0,0,0,0,0,101052.6316,67368.42105,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,757894.7368,101052.6316,707368.4211,0,0,0,63157.89474,0,42548.47645,0,50526.31579,31911.35734,252631.5789,1145263.158,909473.6842
"C251",0,0,0,875789.4737,157192.9825,0,11228.07018,40421.05263,121263.1579,94315.78947,269473.6842,14436.09023,40421.05263,40421.05263,370526.3158,0,0,0,0,0,0,0,0,0,0,0,33684.21053,44912.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,67368.42105,0,0,28872.18045,1482105.263,1566315.789,1616842.105,101052.6316,50526.31579,202105.2632,42870.8134,34845.73503,12631.57895,37894.73684,13473.68421,21274.23823,6124.401914,16842.10526,21274.23823,0,33684.21053,0
"C252",0,0,0,0,0,80842.10526,67368.42105,0,0,0,0,0,0,0,33684.21053,0,0,0,0,0,25263.15789,0,18373.20574,14436.09023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C255",0,0,0,0,0,101052.6316,190877.193,161684.2105,202105.2632,40421.05263,33684.21053,43308.27068,40421.05263,60631.57895,235789.4737,0,0,0,0,0,0,101052.6316,18373.20574,14436.09023,14436.09023,53894.73684,202105.2632,314385.9649,0,0,0,0,0,0,0,0,0,33684.21053,0,0,0,0,0,40421.05263,202105.2632,50526.31579,50526.31579,0,0,67368.42105,0,22456.14035,0,25263.15789,22456.14035,0,67368.42105,101052.6316,952781.9549,1280000,0,151578.9474,101052.6316,50526.31579,151578.9474,12248.80383,0,0,12631.57895,0,0,6124.401914,0,31911.35734,0,0,50526.31579
"C258",0,0,0,0,0,0,0,0,0,0,0,0,20210.52632,0,0,0,0,0,0,0,25263.15789,0,18373.20574,0,0,0,0,0,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,40421.05263,67368.42105,0,50526.31579,101052.6316,67368.42105,0,0,0,0,0,0,0,0,0,28872.18045,67368.42105,0,0,0,0,0,6124.401914,6969.147005,0,0,0,0,0,16842.10526,10637.11911,0,0,0
"C260",0,808421.0526,0,0,0,0,157192.9825,2708210.526,2223157.895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48202105.26,29035789.47,25532631.58,161684.2105,247017.5439,937033.4928,1566315.789,336842.1053,808421.0526,875789.4737,1010526.316,0,0,0,0,2677894.737,1717894.737,909473.6842,0,0,0,0,0,0,0,0,10637.11911,0,0,0
"C264",13541052.63,24252631.58,5745563.91,18256842.11,6242807.018,4587789.474,1246315.789,8245894.737,8650105.263,0,50526.31579,28872.18045,3961263.158,6507789.474,303157.8947,230977.4436,0,101052.6316,0,28872.18045,0,0,0,14436.09023,57744.3609,134736.8421,67368.42105,179649.1228,144360.9023,269473.6842,134736.8421,115488.7218,0,0,164210.5263,424421.0526,314385.9649,1886315.789,923909.7744,461954.8872,269473.6842,192481.203,4193684.211,3880421.053,6063157.895,5002105.263,2829473.684,0,0,0,148210.5263,0,0,0,0,0,0,0,0,3637894.737,3587368.421,2374736.842,0,0,0,55119.61722,188166.9691,56842.10526,164210.5263,94315.78947,10637.11911,0,101052.6316,0,0,0,0
"C265",8185263.158,15157894.74,4388571.429,16168421.05,1145263.158,141473.6842,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,0,0,0,0,14436.09023,175157.8947,67368.42105,494035.0877,0,0,0,0,0,423769.1002,2122105.263,4284631.579,4244210.526,6332631.579,6698345.865,6727218.045,3873684.211,2406015.038,14602105.26,12409263.16,19469473.68,303157.8947,8336842.105,0,0,0,0,1302456.14,845167.4641,1692631.579,1280000,1684210.526,1482105.263,808421.0526,0,0,0,0,0,0,4345263.158,189856.4593,90598.91107,44210.52632,0,13473.68421,21274.23823,146985.6459,210526.3158,425484.7645,2046315.789,2627368.421,2450526.316
"C268",0,0,0,0,0,1333894.737,404210.5263,3274105.263,4567578.947,0,0,0,40421.05263,646736.8421,0,4128721.805,4244210.526,3941052.632,8933052.632,8257443.609,0,0,0,0,0,0,16842.10526,0,0,0,0,0,0,0,12631.57895,20210.52632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338646.617,2930526.316,1987368.421,2223157.895,2964210.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1010526.316,269473.6842,404210.5263,350315.7895,0,0,0,0,0,0,0,0,3233684.211,2627368.421,2273684.211,5760000,5861052.632,0,0,0,0,0,0,0,0,0,0,0,0,0
