,P1,P3,P4,P7,P8,P9,P11,P14,P18,P24,P25,P26,P29,P34,P35,P36,P37,P38,P41,P47,P50,P51,P61,P65,P66,P67,P69,P76,P78,P79,P81,P85,P86,P87,P90,P92,P94,P95,P96,P104,P106,P107,P109,P110,P111,P112,P113,P114,P115,P116,P118,P120,P121,P122,P123,P124,P125,P127,P128,P135,P136,P137,P138,P140,P142,P144,P145,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P161,P162,P164,P165,P166,P168,P173,P174,P175,P176,P177,P178,P179,P180,P181,P184,P187,P191,P192,P193,P194,P195,P196,P197,P200,P201,P205,P206,P207,P212,P214,P215,P216,P217,P273,P275,P276,P277,P278,P281,P282,P283,P286,P287,P288,P291,P299,P300,P303
NWL02,202105.2632,0,0,0,0,0,353684.2105,0,0,0,0,202105.2632,0,0,2122105.263,0,0,0,0,0,0,0,151578.9474,202105.2632,0,0,0,0,0,50526.31579,1566315.789,0,0,0,0,50526.31579,0,0,0,101052.6316,50526.31579,0,0,0,0,0,0,50526.31579,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,50526.31579,404210.5263,0,50526.31579,0,101052.6316,0,101052.6316,0,0,0,1061052.632,0,0,0,50526.31579,0,0,0,151578.9474,0,0,0,0,0,0,0,0,0,0,50526.31579,50526.31579,0,0,0,0,151578.9474,0,0,0,0,101052.6316,0,0,252631.5789,0,0,0,0,0,0,50526.31579,0,101052.6316,0,0,0,0,0,0,0
NWL03,303157.8947,0,0,0,202105.2632,0,606315.7895,0,0,0,0,50526.31579,0,0,1465263.158,202105.2632,0,0,0,0,101052.6316,0,50526.31579,202105.2632,0,0,0,0,0,0,1364210.526,0,0,0,0,303157.8947,0,0,0,50526.31579,0,0,0,151578.9474,0,0,101052.6316,50526.31579,0,50526.31579,0,0,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,101052.6316,0,0,0,101052.6316,0,202105.2632,0,0,50526.31579,0,101052.6316,0,0,1364210.526,0,202105.2632,0,0,0,151578.9474,0,0,0,0,0,0,0,0,0,0,50526.31579,101052.6316,101052.6316,0,0,0,0,0,0,303157.8947,0,0,101052.6316,606315.7895,101052.6316,0,0,0,0,0,0,0,0,50526.31579,0,50526.31579,0,0,50526.31579,0,0
DGB01,85741.62679,0,0,0,18373.20574,0,165358.8517,0,0,0,159234.4498,6124.401914,0,18373.20574,159234.4498,0,18373.20574,0,0,0,0,0,0,0,0,0,0,0,0,0,612440.1914,6124.401914,0,12248.80383,0,0,0,0,0,0,0,6124.401914,0,0,0,6124.401914,12248.80383,0,0,0,6124.401914,0,55119.61722,0,0,0,0,0,0,0,0,0,0,18373.20574,0,0,0,0,0,0,0,0,0,0,0,0,0,24497.60766,0,0,0,36746.41148,0,24497.60766,12248.80383,0,0,55119.61722,0,24497.60766,6124.401914,0,30622.00957,0,6124.401914,0,0,0,0,0,12248.80383,0,0,0,0,0,0,0,0,12248.80383,0,0,12248.80383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB02,34845.73503,0,0,0,48784.02904,0,97568.05808,0,0,0,466932.8494,0,0,62722.32305,341488.2033,0,62722.32305,0,0,0,0,0,13938.29401,0,0,0,0,13938.29401,0,0,599346.6425,6969.147005,0,13938.29401,0,6969.147005,6969.147005,0,0,0,0,6969.147005,0,0,0,0,34845.73503,0,0,0,13938.29401,0,0,0,0,13938.29401,48784.02904,0,0,0,0,0,0,76660.61706,0,0,0,0,0,0,0,0,0,0,0,0,0,48784.02904,0,0,0,20907.44102,0,27876.58802,0,0,0,69691.47005,0,27876.58802,0,0,48784.02904,0,0,0,6969.147005,0,0,0,0,0,0,0,0,0,0,0,0,6969.147005,0,0,0,0,0,0,0,0,0,20907.44102,0,6969.147005,0,0,69691.47005,0,6969.147005
DGB03,31578.94737,0,0,0,12631.57895,0,63157.89474,0,0,0,941052.6316,0,0,6315.789474,530526.3158,0,44210.52632,0,0,0,0,0,31578.94737,0,0,0,0,0,0,0,423157.8947,0,0,6315.789474,12631.57895,0,0,0,0,0,0,6315.789474,0,12631.57895,0,0,0,0,0,0,0,0,12631.57895,0,0,6315.789474,18947.36842,0,0,0,0,0,0,44210.52632,0,0,0,0,0,0,0,0,0,0,0,0,0,37894.73684,0,0,0,0,0,18947.36842,6315.789474,0,0,25263.15789,0,0,12631.57895,0,37894.73684,0,0,0,6315.789474,0,0,0,0,0,0,0,0,0,0,12631.57895,0,12631.57895,0,0,18947.36842,0,0,0,0,0,0,12631.57895,0,0,0,0,18947.36842,0,6315.789474
NLL01,138947.3684,0,0,0,0,0,442105.2632,0,0,0,0,12631.57895,0,25263.15789,25263.15789,0,0,0,0,12631.57895,0,0,12631.57895,63157.89474,0,0,0,0,0,0,1174736.842,0,0,25263.15789,0,0,12631.57895,0,0,0,0,138947.3684,0,25263.15789,0,0,0,0,0,25263.15789,12631.57895,0,12631.57895,12631.57895,0,0,0,0,0,25263.15789,0,0,0,202105.2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75789.47368,12631.57895,37894.73684,0,315789.4737,0,12631.57895,0,0,50526.31579,252631.5789,391578.9474,0,88421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,25263.15789,0,12631.57895,88421.05263,0,0,0,0,0,25263.15789,0,0,0,0,0,0,0
NLL02,188631.5789,0,0,0,40421.05263,0,309894.7368,0,0,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,13473.68421,0,0,26947.36842,0,0,0,0,1994105.263,0,0,13473.68421,40421.05263,0,13473.68421,0,0,0,0,40421.05263,0,0,0,0,0,0,26947.36842,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,26947.36842,67368.42105,148210.5263,161684.2105,0,13473.68421,13473.68421,0,26947.36842,53894.73684,26947.36842,0,26947.36842,0,0,0,0,0,0,0,0,0,0,0,0,13473.68421,0,0,0,0,0,0,0,0,0,53894.73684,0,13473.68421,0,0,53894.73684,0,0
NLL03,127645.4294,0,0,0,0,0,117008.3102,0,0,0,0,0,0,21274.23823,21274.23823,0,0,0,0,21274.23823,0,0,10637.11911,138282.5485,0,0,0,0,0,0,1031800.554,10637.11911,0,85096.95291,10637.11911,10637.11911,0,0,0,0,0,31911.35734,0,0,0,0,0,0,10637.11911,0,0,0,0,21274.23823,0,0,0,0,0,21274.23823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85096.95291,42548.47645,74459.8338,414847.6454,223379.5014,0,0,0,0,148919.6676,234016.6205,148919.6676,0,53185.59557,0,0,10637.11911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21274.23823,0,21274.23823,0,0,10637.11911,0,0
WN01,36746.41148,0,0,18373.20574,0,0,61244.01914,0,6124.401914,0,0,12248.80383,6124.401914,0,30622.00957,79617.22488,0,0,0,0,0,0,30622.00957,0,0,36746.41148,0,0,6124.401914,12248.80383,1022775.12,0,0,12248.80383,0,6124.401914,0,0,18373.20574,0,0,18373.20574,0,0,0,6124.401914,0,0,0,0,0,12248.80383,24497.60766,18373.20574,195980.8612,0,36746.41148,0,6124.401914,30622.00957,0,0,0,0,0,0,0,0,0,0,0,0,0,6124.401914,6124.401914,0,0,36746.41148,0,6124.401914,0,18373.20574,0,6124.401914,6124.401914,0,0,18373.20574,0,0,0,0,0,0,30622.00957,12248.80383,0,12248.80383,0,0,0,0,12248.80383,6124.401914,0,0,67368.42105,0,6124.401914,0,12248.80383,0,0,0,0,0,24497.60766,104114.8325,0,79617.22488,0,0,0,18373.20574,79617.22488,0,12248.80383
WN02,58947.36842,0,0,8421.052632,0,0,117894.7368,8421.052632,0,0,0,0,0,33684.21053,101052.6316,42105.26316,16842.10526,0,0,25263.15789,25263.15789,50526.31579,50526.31579,8421.052632,0,8421.052632,0,0,42105.26316,0,1212631.579,0,0,8421.052632,16842.10526,0,8421.052632,0,16842.10526,0,0,8421.052632,0,0,0,0,0,0,0,0,0,0,16842.10526,16842.10526,311578.9474,0,0,0,0,50526.31579,33684.21053,0,0,0,0,0,0,0,0,0,0,0,0,0,16842.10526,0,0,50526.31579,0,8421.052632,0,25263.15789,0,42105.26316,16842.10526,0,16842.10526,50526.31579,0,0,0,0,0,0,0,0,0,16842.10526,0,0,0,0,0,8421.052632,0,0,0,16842.10526,16842.10526,0,25263.15789,0,0,0,0,0,0,84210.52632,16842.10526,50526.31579,0,8421.052632,0,0,8421.052632,0,0
WN03,42548.47645,0,0,0,0,0,117008.3102,0,0,0,0,0,0,42548.47645,0,21274.23823,0,0,0,95734.07202,0,0,31911.35734,0,0,74459.8338,0,0,0,21274.23823,1404099.723,0,0,0,21274.23823,0,0,0,0,21274.23823,0,0,0,0,0,53185.59557,10637.11911,21274.23823,0,0,0,0,0,21274.23823,0,0,85096.95291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10637.11911,0,0,21274.23823,0,21274.23823,53185.59557,0,74459.8338,21274.23823,10637.11911,10637.11911,95734.07202,0,0,0,21274.23823,0,0,0,0,0,0,0,0,0,10637.11911,0,0,0,0,10637.11911,10637.11911,0,0,0,0,21274.23823,21274.23823,0,0,0,0,0,0,0,53185.59557,42548.47645,138282.5485,0,10637.11911,0,31911.35734,117008.3102,0,63822.71468
BT01,50526.31579,0,0,0,25263.15789,0,25263.15789,0,0,0,0,0,0,0,0,429473.6842,0,0,0,0,0,25263.15789,202105.2632,227368.4211,0,0,0,0,0,0,1288421.053,25263.15789,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,25263.15789,75789.47368,0,0,252631.5789,0,0,0,0,555789.4737,25263.15789,0,0,0,25263.15789,101052.6316,0,0,0,0,0,0,0,0,25263.15789,0,0,0,0,0,0,25263.15789,530526.3158,0,0,0,50526.31579,25263.15789,0,0,75789.47368,0,0,0,25263.15789,0,25263.15789,0,0,0,0,50526.31579,0,126315.7895,0,0,0,0,75789.47368,0,75789.47368,0,0,0,75789.47368,0,0,0,0,0,0,631578.9474,0,25263.15789,0,0,0,0,0,0,0,25263.15789
BT02,134736.8421,0,0,0,168421.0526,0,0,0,0,0,0,0,0,0,336842.1053,572631.5789,0,0,0,0,0,0,269473.6842,101052.6316,0,0,0,0,0,0,1347368.421,67368.42105,0,0,0,0,33684.21053,0,0,0,0,0,0,0,0,0,336842.1053,168421.0526,0,538947.3684,0,33684.21053,0,0,303157.8947,0,0,0,0,0,0,67368.42105,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,437894.7368,0,67368.42105,0,67368.42105,33684.21053,33684.21053,0,0,33684.21053,101052.6316,0,0,0,0,0,0,0,0,101052.6316,101052.6316,33684.21053,0,0,0,0,0,0,0,0,33684.21053,0,0,0,0,0,0,67368.42105,0,437894.7368,0,0,0,0,0,33684.21053,33684.21053,303157.8947,0,33684.21053
BT03,0,0,0,25263.15789,25263.15789,0,0,0,0,0,0,0,0,25263.15789,75789.47368,378947.3684,0,0,0,25263.15789,0,0,581052.6316,101052.6316,0,0,0,0,0,0,960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,404210.5263,0,0,0,0,404210.5263,0,0,0,0,0,0,25263.15789,0,0,0,50526.31579,0,0,0,25263.15789,0,0,0,0,0,0,0,353684.2105,0,0,0,101052.6316,0,25263.15789,0,50526.31579,0,0,0,0,0,0,0,0,0,0,50526.31579,101052.6316,0,0,0,0,25263.15789,25263.15789,0,0,0,25263.15789,0,0,0,0,0,0,50526.31579,0,480000,0,0,0,0,0,0,25263.15789,126315.7895,0,50526.31579
