,P1,P3,P4,P7,P8,P9,P11,P14,P18,P24,P25,P26,P29,P34,P35,P36,P37,P38,P41,P47,P50,P51,P61,P65,P66,P67,P69,P76,P78,P79,P81,P85,P86,P87,P90,P92,P94,P95,P96,P104,P106,P107,P109,P110,P111,P112,P113,P114,P115,P116,P118,P120,P121,P122,P123,P124,P125,P127,P128,P135,P136,P137,P138,P140,P142,P144,P145,P149,P150,P151,P152,P153,P154,P155,P156,P157,P158,P159,P161,P162,P164,P165,P166,P168,P173,P174,P175,P176,P177,P178,P179,P180,P181,P184,P187,P191,P192,P193,P194,P195,P196,P197,P200,P201,P205,P206,P207,P212,P214,P215,P216,P217,P273,P275,P276,P277,P278,P281,P282,P283,P286,P287,P288,P291,P299,P300,P303
DSH02,40421.05263,0,0,0,40421.05263,0,404210.5263,0,0,0,0,80842.10526,0,80842.10526,40421.05263,0,0,0,0,0,0,0,80842.10526,2142315.789,0,0,0,0,80842.10526,0,0,0,0,0,0,0,40421.05263,0,0,323368.4211,0,0,0,40421.05263,0,0,80842.10526,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,40421.05263,40421.05263,0,0,0,0,80842.10526,0,0,0,40421.05263,80842.10526,0,0,0,0,0,0,0,242526.3158,40421.05263,0,0,40421.05263,40421.05263,0,0,0,0,0,80842.10526,0,0,0,0,0,0,0,0,40421.05263,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,40421.05263,0,0,0,0,0,0,0
DSH03,67368.42105,0,0,0,67368.42105,0,336842.1053,0,0,0,0,67368.42105,0,0,67368.42105,67368.42105,67368.42105,0,0,67368.42105,0,0,336842.1053,1818947.368,0,0,0,0,0,0,875789.4737,0,0,67368.42105,0,67368.42105,0,0,0,538947.3684,0,0,0,0,0,0,404210.5263,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,269473.6842,0,0,67368.42105,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,67368.42105,0,134736.8421,0,0,0,67368.42105,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,67368.42105,0,0,0,67368.42105,0,0,67368.42105,0,0,0,0,67368.42105,0,67368.42105,0,0,0,0,0,0,336842.1053
DSH04,50526.31579,0,0,0,101052.6316,50526.31579,1010526.316,0,0,0,0,0,0,0,0,101052.6316,50526.31579,0,0,0,0,0,151578.9474,303157.8947,0,0,0,0,50526.31579,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,404210.5263,0,0,50526.31579,0,0,0,0,0,0,0,0,0,808421.0526,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,303157.8947,0,0,0,0,101052.6316,404210.5263,101052.6316,0,0,0,0,0,0,0,0,505263.1579,0,101052.6316,0,0,0,0,0,0,0,0,0,0,50526.31579,50526.31579,0,101052.6316,202105.2632,0,0,0,0,0,0,0,0,0,0,0,0,0
DSH05,0,0,0,0,0,151578.9474,1162105.263,0,0,0,0,0,0,50526.31579,50526.31579,50526.31579,0,0,0,0,0,0,202105.2632,50526.31579,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303157.8947,0,0,0,50526.31579,0,0,555789.4737,0,0,0,0,50526.31579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50526.31579,0,0,101052.6316,0,0,50526.31579,50526.31579,50526.31579,0,151578.9474,0,0,0,0,101052.6316,0,0,0,0,0,50526.31579,50526.31579,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,353684.2105,0,0,0,0,0,0,0,50526.31579,0,0,0,0,0,202105.2632,0,50526.31579,0,0,0,0,50526.31579
DJS01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202105.2632,0,0,0,101052.6316,0,0,0,101052.6316,0,0,0,0,0,0,8690526.316,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101052.6316,0,0,0,0,0,0,0,0,404210.5263,0,101052.6316,0,0,0,0,0,0,707368.4211,0,606315.7895,101052.6316,0,0,0,101052.6316,0,0,0,0,0
DJS02,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,67368.42105,0,0,0,67368.42105,0,0,0,0,0,67368.42105,0,0,0,0,6265263.158,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,67368.42105,0,67368.42105,67368.42105,0,0,0,67368.42105,0,0,0,0,0
DJS03,0,67368.42105,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,134736.8421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5793684.211,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,67368.42105,0,336842.1053,67368.42105,0,0,0,0,0,0,0,0,0
GZ05,0,1185684.211,0,13473.68421,94315.78947,0,256000,0,0,0,0,67368.42105,0,80842.10526,13473.68421,0,0,0,0,0,0,0,26947.36842,0,0,0,0,13473.68421,0,0,1738105.263,107789.4737,0,0,0,13473.68421,13473.68421,0,0,13473.68421,0,0,0,13473.68421,0,0,26947.36842,0,0,0,13473.68421,13473.68421,26947.36842,40421.05263,0,0,0,0,0,0,0,0,0,107789.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,40421.05263,0,0,0,13473.68421,0,40421.05263,0,0,0,80842.10526,0,0,0,13473.68421,0,0,0,0,26947.36842,0,0,0,0,0,0,13473.68421,0,188631.5789,0,13473.68421,0,0,0,0,13473.68421,0,13473.68421,0,0,0,0,13473.68421,0,0,0,0,0,0,0
WSJ01,0,44912.2807,0,0,22456.14035,0,0,0,0,0,0,0,0,22456.14035,0,0,0,0,0,0,0,0,44912.2807,112280.7018,0,0,0,0,0,0,1392280.702,0,0,22456.14035,22456.14035,0,0,0,0,22456.14035,0,0,0,0,0,0,0,22456.14035,0,22456.14035,0,0,0,0,44912.2807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67368.42105,0,0,0,0,157192.9825,22456.14035,22456.14035,0,0,0,0,0,44912.2807,0,22456.14035,0,0,0,0,0,0,0,0,0,44912.2807,0,0,0,0,0,0,0,0,22456.14035,44912.2807,0,112280.7018,22456.14035,0,0,538947.3684,0,44912.2807,0,134736.8421,224561.4035,336842.1053,0,22456.14035,44912.2807,22456.14035,0,0,22456.14035
WSJ02,0,55119.61722,0,0,0,0,0,0,0,36746.41148,0,0,0,110239.2344,0,0,0,0,0,0,0,0,18373.20574,183732.0574,0,18373.20574,0,0,0,55119.61722,1231004.785,0,18373.20574,91866.02871,0,36746.41148,0,0,0,0,0,0,0,0,18373.20574,0,55119.61722,0,0,0,0,0,36746.41148,0,18373.20574,0,0,0,0,0,0,36746.41148,0,0,0,18373.20574,0,0,0,0,0,18373.20574,128612.4402,0,0,18373.20574,0,55119.61722,18373.20574,0,0,0,0,55119.61722,0,146985.6459,0,36746.41148,0,0,0,0,0,0,0,18373.20574,36746.41148,0,0,0,0,0,0,18373.20574,0,18373.20574,18373.20574,36746.41148,0,183732.0574,0,0,0,110239.2344,0,0,0,36746.41148,0,36746.41148,0,18373.20574,0,0,55119.61722,0,18373.20574
