"","FJ2015024","FJ2015031","FJ2015041","FJ2015042","FJ2015043","FJ2015044","FJ2015051","FJ2015071","FJ2015072","FJ2015073","FJ2016023","FJ2016039","FJ2016040","FJ2016047","FJ2016065","FJ2016080","FJ2017071","FJ2017072","FJ2017073","FJ2017074","FJ2017075","FJ2017090","FJ2017091","FJ2017092","FJ2017093","FJ2017094","FJ2017096","FJ2017097","FJ2017098","FJ2018001","FJ2018002","FJ2018017","FJ2018019","FJ2018021","FJ2018022","FJ2018023","FJ2018024","FJ2018036","FJ2018040","FJ2018041","FJ2018042","FJ2018043","FJ2018045","FJ2018046","FJ2018047","FJ2018062","FJ2018063","FJ2018065","FJ2018066","FJ2018067","FJ2018068","FJ2018070","FJ2018071","FJ2018073","FJ2018088","FJ2018089","FJ2018090","FJ2018095","FJ2019010","FJ2019018","FJ2019019","FJ2019020","FJ2019023","FJ2019024","FJ2019039","FJ2019040","FJ2019041","FJ2019042","FJ2019044","FJ2019062","FJ2019065","FJ2019066","FJ2019070","FJ2019082","FJ2020009","FJ2020016"
"Bosmina_longirostris",0.1333,0.1333,0.4,0.2,1,0.2,7.0667,15.2667,16,44,1.4,11.9444,3.8667,14.9333,0.0694,2.1,9.3,14.2667,46.2667,6.5333,7.15,10.7333,7,0.4667,1,3.9,0.8,5.4167,2,5.9,0.8,2.05,2.5,12.5333,14.2,4.5,9.5667,19.7,17.8333,3,2.9333,0.1333,0.2,0.25,2.9333,32.2,12.2667,11.7333,7,4.7407,2.1333,19.1667,22.4,11,20.8,0.4667,1,8.8667,3.1667,0.5333,6.5333,0.6667,11,9,24.1333,105.2333,10.8333,0.6667,3.3,39.6667,38.3333,10.5333,0.2273,1.75,11.7,8.2667
"Bosminopsis_deitersi",0.5333,0.6667,0.8,0.2,9,2.2,1.6,1.4,1.2,5,9.1,20,8.2667,5.2667,1.0417,1.8,0,0,0.1333,0,0,0.2333,0,0,0,0.3,0.0889,0.0833,0,0,0.5,0,0,0.7111,3,1,2.3333,7.4,6.1667,0.6667,1.4667,0.4,1.9,1.0833,1.4667,20.2,2,5.2,8.9833,17.3333,4.8,20,23.8933,12,3.7,1.8667,7.5,3.6667,2.8333,1.5333,3.7333,7.2667,30.5,5.6,8.6667,13.7667,8.3333,0.2667,2.55,3.1667,12.6667,3.4667,6.9697,6.25,0,0.0667
"Ceriodaphnia_cornuta",0,0,0,0,0,0,0.4,0,0,0,0.4667,0,0.6667,0,0,0,0,0,0,0,0,0,0.2,4.2667,8.4,1.1,4.4444,0,0,0.3,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3733,0.1667,0,0.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Diaphanosoma_dubia",0,0,0,0,3,0,0,0,0.6,0.6,0.7,0,0,0,0.0694,0,0,0,0.6667,0.4,0,0,0,0.2667,0.2,0,0,0.0833,0,0,0.0167,0,0,0,0,0,1.4,0.3,0,0,0.9333,0,0.2,0,0.9333,0,1.3333,0.2667,0.8167,0.4444,0.1333,2.5,0,0.5,0.2,0.0667,0.1667,0.0667,0.1667,0,0,0.2,0.1667,0.2,0,0.4667,0,0.8,6.45,2.8333,0.3333,0.4,0.303,0.4167,0,0.1333
"Moina_macrocopa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0.3733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moina_micrura",0,0,0,0,0,0,0,0,0,0,0,0,0.1333,0,0,0,0,0,0,0,0.35,0.1167,2.5,0,0,0.1,1.9556,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0.2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Moina_rectirostris",0,0,0,0,3,0.2,0,0,0.8,0.8,0.2333,0.2778,0.1333,0.1333,0.0694,0,0.2,0,0,0,0.25,0,0.6,0.2667,0.4667,0,0,0.25,0,0.1,0.0167,0.05,0,0,0,0,0,1,0.5,0.0833,0,0,0.1,0,0,4.2,0,0,0,0,0.1333,0.8333,0.3733,0.5,0,0.0667,0.3333,0.0667,0.1667,0.0667,0,0,0,0,0.1333,0.2333,0,0,0.9,1.6667,0,0.1333,0.1515,1.3333,0,0.4
