"","Achnanthes_sp.","Amphora_ovalis","Cocconeis_placentula","Coscinodiscus_sp.","Cyclotella_sp.","Cymbella_sp.","Fragilaria_capucina","Fragilaria_sp.","Frustulia_sp.","Gomphonema_sp.","Melosira_granulata","Navicula_sp.","Nitzschia_sp.","Pinnularia_nobilis","Stauroneis_acuta","Surirella_sp.","Synedra_acus","Synedra_sp.","Tabellaria_sp.","Ankistrodesmus_acicularis","Ankistrodesmus_convolutus","Ankistrodesmus_falcatus","Ankistrodesmus_falcatus_var._mirabilis","Botryococcus_braunii","Chlamydomonas_sp.","Chlorella_sp.","Chodatella_cilliata","Closteriopsis_sp.","Coelastrum_microporum","Coelastrum_reticulatum","Coelastrum_sphaericum","Cosmarium_angulosum","Cosmarium_bioculatum","Cosmarium_circulare","Cosmarium_connatum","Cosmarium_depressum","Cosmarium_globosum","Cosmarium_quadrum","Cosmarium_sp.","Cosmarium_trilobulatum","Cosmarium_turgidum","Crucigenia_lauterbornei","Crucigenia_quadrata","Crucigenia_rectangularis","Crucigenia_tetrapedia","Dictyosphaeria_cavernosa","Elakatothrix_gelatinosa","Euastrum_elegans","Eudorina_elegans","Gloeocystis_sp.","Golenkinia_paucispina","Gonatozygon_kinahani","Kirchneriella_contorta","Kirchneriella_lunaris_","Mougeotia_sp.","Nephrocytium_agardhianum","Oedogonium_sp.","Oocystis_lacustris","Pediastrum_duplex","Pediastrum_tetras_var._tetraodon","Pleodorina_californica","Pteromonas_sp.","Radiococcus_sp.","Raphidonema_nivale","Scenedesmus_acuminatus","Scenedesmus_arcuatus","Scenedesmus_armatus","Scenedesmus_bicaudatus","Scenedesmus_bijuga","Scenedesmus_denticulatus","Scenedesmus_dimorphus","Scenedesmus_perforatas","Scenedesmus_quadricauda","Schroederia_robusta","Selenastrum_bibraianum","Sphaerocystis_schroeteri","Staurastrum_bifidum","Staurastrum_connatum","Staurastrum_crenulatum","Staurastrum_gracile","Staurodesmus_sp.","Tetraedron_bifurcatum","Tetraedron_caudatum","Tetraedron_hastatum_var._palatinum","Tetraedron_minimum","Tetraedron_trigonum","Tetraedron_trilobulatum","Tetraedron_tumidulum","Treubaria_triappendiculata","Westella_linearis","Mallomonas_acaroides","Mallomonas_oviformis","Synura_sp.","Chroomonas_caudata","Cryptomonas_erosa","Cryptomonas_marssonii","Cryptomonas_ovata","Glenodinium_pulvisculus","Peridinium_sp.","Euglena_interrupta","Euglena_oxyuris","Euglena_pisciformis","Lepocinclis_texta","Phacus_acuminatus","Phacus_longicauda","Phacus_pleuronectes","Strombomonas_ensifera","Trachelomonas_oblonga","Trachelomonas_reticulata"
"FJ2017075",4812.02381,0,235789.1667,0,33684.16667,2406.011905,0,0,0,2406.011905,197292.9762,0,0,0,0,0,0,0,0,21654.10714,0,0,0,16842.08333,0,430676.131,2406.011905,16842.08333,2406.011905,9624.047619,0,4812.02381,0,0,0,0,2406.011905,0,0,19248.09524,0,0,0,0,2406.011905,0,0,0,0,0,0,0,0,7218.035714,0,0,0,7218.035714,0,0,0,0,0,0,0,2406.011905,0,9624.047619,0,0,4812.02381,0,40902.20238,0,2406.011905,0,0,4812.02381,0,2406.011905,0,0,0,0,0,4812.02381,0,0,16842.08333,0,0,0,0,2406.011905,0,0,2406.011905,0,0,0,0,0,0,0,0,2406.011905,0,0,7218.035714
"FJ2017090",8165.858586,0,38787.82828,0,120446.4141,0,0,0,0,2041.464646,500158.8384,14290.25253,2041.464646,0,2041.464646,0,0,0,0,24497.57576,0,0,0,12248.78788,0,102073.2323,12248.78788,6124.393939,0,24497.57576,0,8165.858586,0,0,0,0,6124.393939,0,0,2041.464646,0,0,0,2041.464646,0,0,0,0,0,0,0,0,0,8165.858586,0,0,0,4082.929293,0,0,0,0,0,0,0,2041.464646,0,8165.858586,0,0,0,0,32663.43434,0,0,0,0,0,6124.393939,6124.393939,0,0,0,0,4082.929293,8165.858586,0,0,0,0,0,0,0,8165.858586,0,0,0,0,10207.32323,0,0,0,0,0,0,0,0,0,0
"FJ2017091",7555.327103,0,9444.158879,0,58553.78505,0,0,0,0,0,118996.4019,0,3777.663551,0,1888.831776,3777.663551,1888.831776,0,0,9444.158879,0,0,0,20777.14953,5666.495327,445764.2991,0,9444.158879,5666.495327,13221.82243,1888.831776,0,0,0,0,0,0,0,0,0,0,0,0,5666.495327,0,0,0,0,0,0,0,0,0,22665.98131,0,0,0,3777.663551,0,0,0,0,7555.327103,0,0,0,1888.831776,16999.48598,0,0,0,0,0,1888.831776,3777.663551,0,0,3777.663551,9444.158879,0,0,0,0,0,0,1888.831776,0,0,0,1888.831776,0,0,0,3777.663551,0,0,1888.831776,0,0,0,0,0,1888.831776,0,0,3777.663551,0,0,3777.663551
"FJ2017092",16842.08333,0,5614.027778,0,71578.85417,0,0,0,0,2807.013889,72982.36111,0,2807.013889,0,0,1403.506944,0,1403.506944,0,12631.5625,0,0,0,29473.64583,2807.013889,277894.375,0,1403.506944,2807.013889,21052.60417,0,1403.506944,0,0,0,0,0,0,0,0,0,0,0,0,1403.506944,0,0,0,1403.506944,0,1403.506944,0,0,9824.548611,0,0,0,4210.520833,1403.506944,0,0,0,8421.041667,0,0,1403.506944,0,7017.534722,0,0,0,0,7017.534722,0,1403.506944,0,0,0,0,0,0,0,0,0,0,2807.013889,0,5614.027778,0,0,0,1403.506944,0,5614.027778,0,0,1403.506944,1403.506944,0,0,0,0,1403.506944,0,0,2807.013889,0,0,1403.506944
"FJ2017093",36491.18056,0,8421.041667,2807.013889,188069.9306,2807.013889,0,2807.013889,0,0,266666.3194,0,2807.013889,0,0,0,2807.013889,0,0,39298.19444,0,0,0,42105.20833,14035.06944,519297.5694,5614.027778,30877.15278,2807.013889,30877.15278,14035.06944,5614.027778,0,0,0,0,0,0,0,0,0,0,0,2807.013889,2807.013889,0,0,2807.013889,2807.013889,0,0,0,0,14035.06944,0,0,0,0,0,0,0,0,2807.013889,0,0,0,2807.013889,19649.09722,0,0,0,0,2807.013889,0,0,0,0,0,8421.041667,0,0,2807.013889,2807.013889,0,2807.013889,8421.041667,2807.013889,0,5614.027778,0,0,0,0,11228.05556,2807.013889,0,2807.013889,0,0,0,0,0,2807.013889,0,0,5614.027778,2807.013889,0,8421.041667
"FJ2017094",21274.21053,0,31911.31579,0,74459.73684,0,0,0,10637.10526,0,10637.10526,0,0,0,0,0,10637.10526,0,0,53185.52632,0,74459.73684,0,0,0,776508.6842,10637.10526,1914678.947,0,21274.21053,21274.21053,0,10637.10526,0,0,0,0,0,0,0,0,0,0,148919.4737,0,0,0,0,0,0,0,0,0,31911.31579,0,0,0,0,0,0,0,0,0,0,0,0,21274.21053,21274.21053,0,0,0,0,0,0,0,0,21274.21053,0,10637.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21274.21053,0,0,0,0,0,0,10637.10526,10637.10526,0,0,0,0,0,0,10637.10526
"FJ2017096",8509.684211,0,19146.78947,2127.421053,95733.94737,0,0,0,0,2127.421053,178703.3684,0,4254.842105,0,0,0,0,0,0,6382.263158,0,6382.263158,0,14891.94737,0,472287.4737,4254.842105,6382.263158,2127.421053,23401.63158,4254.842105,4254.842105,0,0,0,0,0,0,0,2127.421053,0,0,0,0,17019.36842,0,0,0,0,0,0,0,0,2127.421053,0,0,0,8509.684211,0,0,0,0,2127.421053,0,0,0,2127.421053,36166.15789,0,0,0,0,4254.842105,2127.421053,0,0,0,0,0,0,0,0,0,0,0,17019.36842,0,0,6382.263158,0,0,6382.263158,0,6382.263158,0,0,4254.842105,0,0,0,0,2127.421053,0,0,0,0,0,0,0
"FJ2017097",17908.03797,0,28141.20253,0,171405.5063,0,0,2558.291139,2558.291139,2558.291139,240479.3671,0,12791.4557,0,2558.291139,0,0,0,5116.582278,10233.16456,0,0,0,12791.4557,0,539799.4304,0,17908.03797,0,0,5116.582278,5116.582278,0,0,0,0,0,0,0,0,0,0,0,10233.16456,0,0,0,2558.291139,2558.291139,0,0,0,0,20466.32911,0,0,0,0,0,0,0,0,5116.582278,0,0,0,5116.582278,30699.49367,0,0,0,0,0,0,2558.291139,0,0,0,2558.291139,0,0,12791.4557,0,0,2558.291139,7674.873418,0,0,0,0,0,5116.582278,2558.291139,17908.03797,0,0,0,0,5116.582278,0,0,0,0,0,0,0,0,0,5116.582278
"FJ2017098",33684.16667,0,21654.10714,2406.011905,62556.30952,0,0,0,0,2406.011905,211729.0476,38496.19048,2406.011905,0,0,0,4812.02381,0,0,19248.09524,0,0,0,7218.035714,7218.035714,526916.6071,0,28872.14286,0,12030.05952,0,9624.047619,0,0,2406.011905,2406.011905,7218.035714,0,2406.011905,0,0,0,0,21654.10714,0,0,0,7218.035714,2406.011905,0,2406.011905,0,0,0,0,0,0,4812.02381,2406.011905,0,0,0,0,0,0,0,2406.011905,36090.17857,0,2406.011905,0,2406.011905,2406.011905,0,2406.011905,0,0,0,0,0,0,0,9624.047619,0,4812.02381,16842.08333,0,0,0,0,0,2406.011905,0,12030.05952,0,0,2406.011905,0,2406.011905,2406.011905,0,4812.02381,0,0,0,2406.011905,0,0,0
"FJ2018001",45130.24272,0,13735.29126,0,92222.6699,0,0,0,0,1962.184466,145201.6505,1962.184466,9810.92233,1962.184466,0,0,5886.553398,0,0,37281.50485,19621.84466,0,0,19621.84466,0,368890.6796,0,17659.66019,0,3924.368932,0,1962.184466,0,0,0,0,0,0,0,3924.368932,0,0,0,0,0,0,0,1962.184466,0,0,1962.184466,0,0,11773.1068,0,0,0,3924.368932,1962.184466,0,0,0,0,0,0,0,1962.184466,19621.84466,1962.184466,0,0,0,13735.29126,0,1962.184466,0,0,0,0,0,0,0,1962.184466,0,0,23546.21359,1962.184466,0,0,3924.368932,0,0,0,7848.737864,0,0,1962.184466,0,1962.184466,0,0,0,0,7848.737864,0,0,0,0,0
"FJ2018002",25263.125,0,18045.08929,0,216541.0714,3609.017857,0,0,0,7218.035714,180450.8929,3609.017857,0,0,0,0,7218.035714,0,0,202105,36090.17857,0,0,3609.017857,0,685713.3929,3609.017857,21654.10714,3609.017857,7218.035714,21654.10714,0,0,0,0,0,0,0,0,0,0,0,0,14436.07143,0,0,0,3609.017857,0,0,3609.017857,0,0,7218.035714,0,0,0,3609.017857,3609.017857,0,0,0,3609.017857,0,0,0,3609.017857,18045.08929,0,3609.017857,0,0,93834.46429,0,0,0,0,0,0,0,0,0,0,0,0,32481.16071,7218.035714,0,0,3609.017857,0,0,0,7218.035714,0,0,0,0,7218.035714,0,0,0,0,0,0,7218.035714,0,0,10827.05357
"FJ2018017",13938.27586,0,10453.7069,0,118475.3448,0,0,6969.137931,0,6969.137931,114990.7759,0,6969.137931,0,0,0,0,0,0,62722.24138,111506.2069,0,0,13938.27586,0,700398.3621,0,10453.7069,0,3484.568966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3484.568966,0,0,0,0,3484.568966,0,0,0,0,0,0,0,0,0,3484.568966,0,0,3484.568966,17422.84483,0,0,0,0,17422.84483,0,0,0,0,0,0,0,0,0,0,0,0,17422.84483,3484.568966,0,0,0,0,0,0,331034.0517,0,6969.137931,10453.7069,0,0,0,3484.568966,0,3484.568966,10453.7069,0,0,3484.568966,0,0
"FJ2018019",14698.54545,3674.636364,7349.272727,0,205779.6364,0,0,0,0,0,139636.1818,11023.90909,3674.636364,11023.90909,0,0,29397.09091,0,0,110239.0909,0,0,0,14698.54545,0,621013.5455,0,33071.72727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3674.636364,0,0,0,0,0,0,0,0,0,7349.272727,0,7349.272727,0,0,3674.636364,0,0,0,0,0,0,0,0,33071.72727,0,0,0,3674.636364,11023.90909,3674.636364,0,0,0,0,0,0,0,0,0,0,0,11023.90909,0,0,0,0,0,3674.636364,0,371138.2727,0,7349.272727,25722.45455,0,3674.636364,0,0,0,0,18373.18182,0,0,3674.636364,0,11023.90909
"FJ2018021",11716.23188,0,5858.115942,0,240182.7536,0,0,0,0,0,114233.2609,0,2929.057971,0,2929.057971,0,111304.2029,0,0,128878.5507,2929.057971,0,0,14645.28986,2929.057971,462791.1594,0,8787.173913,0,5858.115942,0,0,0,0,0,0,0,0,0,0,0,0,0,8787.173913,0,0,0,0,0,0,0,2929.057971,0,17574.34783,0,5858.115942,0,0,5858.115942,0,0,0,2929.057971,0,0,0,2929.057971,35148.69565,0,0,2929.057971,5858.115942,17574.34783,8787.173913,0,0,0,0,0,0,5858.115942,0,0,0,0,32219.63768,0,0,0,0,0,5858.115942,0,20503.4058,0,0,2929.057971,0,2929.057971,0,0,0,0,5858.115942,0,5858.115942,0,0,2929.057971
"FJ2018022",41339.65909,0,18373.18182,0,243444.6591,0,0,18373.18182,0,0,59712.84091,0,55119.54545,4593.295455,0,0,59712.84091,0,0,68899.43182,151578.75,13779.88636,0,4593.295455,0,601721.7045,0,4593.295455,0,9186.590909,0,0,0,0,0,13779.88636,4593.295455,0,0,0,0,0,0,4593.295455,0,0,0,0,0,0,4593.295455,0,0,36746.36364,0,0,0,0,0,0,0,0,4593.295455,0,0,0,13779.88636,64306.13636,0,0,4593.295455,4593.295455,9186.590909,4593.295455,0,0,0,0,0,4593.295455,13779.88636,0,0,0,0,55119.54545,0,0,0,0,0,4593.295455,0,128612.2727,13779.88636,0,0,4593.295455,4593.295455,0,0,0,0,4593.295455,0,0,0,0,4593.295455
"FJ2018023",46953.68687,0,12248.78788,0,224561.1111,2041.464646,0,10207.32323,0,0,130653.7374,24497.57576,12248.78788,0,0,0,6124.393939,0,0,48995.15152,59202.47475,0,0,10207.32323,4082.929293,177607.4242,0,28580.50505,2041.464646,4082.929293,0,2041.464646,0,0,0,0,2041.464646,0,2041.464646,2041.464646,0,0,0,0,2041.464646,0,0,0,0,0,0,2041.464646,0,22456.11111,0,0,0,4082.929293,4082.929293,0,0,0,0,0,0,0,16331.71717,42870.75758,0,2041.464646,0,2041.464646,4082.929293,2041.464646,0,0,0,0,0,4082.929293,0,0,0,0,22456.11111,12248.78788,4082.929293,8165.858586,0,0,0,0,0,22456.11111,0,4082.929293,0,0,0,0,0,0,0,0,0,2041.464646,0,0,2041.464646
"FJ2018024",538946.6667,0,31702.7451,0,31702.7451,3962.843137,7925.686275,0,0,0,67368.33333,11888.52941,75294.01961,0,0,0,19814.21569,0,0,55479.80392,35665.58824,0,0,11888.52941,15851.37255,439875.5882,0,0,7925.686275,3962.843137,0,3962.843137,0,0,0,0,11888.52941,0,0,3962.843137,0,0,0,0,0,0,0,0,3962.843137,3962.843137,3962.843137,0,0,39628.43137,0,0,0,0,0,7925.686275,0,0,0,0,0,0,11888.52941,47554.11765,0,0,0,0,0,0,0,0,0,0,0,0,3962.843137,0,0,0,7925.686275,110959.6078,0,0,0,0,0,0,0,11888.52941,0,0,0,0,0,0,3962.843137,0,0,0,0,7925.686275,0,0,3962.843137
"FJ2018036",951849.3548,0,26078.06452,0,97792.74194,6519.516129,0,0,0,0,84753.70968,6519.516129,32597.58065,0,0,0,52156.12903,0,0,58675.64516,19558.54839,0,0,6519.516129,19558.54839,932290.8065,0,0,0,13039.03226,13039.03226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6519.516129,0,13039.03226,0,0,39117.09677,97792.74194,0,0,0,0,0,0,0,13039.03226,0,0,0,26078.06452,71714.67742,13039.03226,0,0,0,6519.516129,6519.516129,0,0,0,0,0,0,0,0,0,0,0,26078.06452,13039.03226,0,0,19558.54839,0,0,0,104312.2581,6519.516129,0,6519.516129,0,0,0,0,0,0,0,0,19558.54839,0,0,26078.06452
"FJ2018040",437894.1667,0,26947.33333,6736.833333,101052.5,0,0,0,0,0,67368.33333,6736.833333,20210.5,0,0,0,0,0,0,20210.5,6736.833333,0,0,0,0,1057682.833,0,6736.833333,6736.833333,13473.66667,33684.16667,26947.33333,0,0,0,0,0,0,0,6736.833333,0,0,0,40421,0,0,0,0,0,0,0,0,0,47157.83333,53894.66667,0,0,6736.833333,0,6736.833333,0,0,0,0,0,0,0,60631.5,6736.833333,0,0,0,6736.833333,0,0,0,0,0,13473.66667,0,6736.833333,0,0,0,0,6736.833333,6736.833333,0,13473.66667,6736.833333,0,0,0,821893.6667,0,0,13473.66667,13473.66667,6736.833333,0,0,0,0,13473.66667,0,13473.66667,0,0,20210.5
"FJ2018041",228466.5217,0,17574.34783,0,175743.4783,8787.173913,0,0,0,0,123020.4348,8787.173913,26361.52174,0,0,0,17574.34783,0,0,369061.3043,35148.69565,0,0,0,0,1555329.783,0,0,17574.34783,8787.173913,8787.173913,43935.86957,17574.34783,0,0,0,52723.04348,0,0,52723.04348,0,0,0,0,0,0,0,8787.173913,0,0,8787.173913,0,0,8787.173913,8787.173913,0,0,17574.34783,0,17574.34783,0,0,0,0,0,0,26361.52174,114233.2609,8787.173913,8787.173913,0,8787.173913,0,0,0,0,0,0,0,0,8787.173913,0,0,0,8787.173913,8787.173913,0,0,0,26361.52174,0,8787.173913,0,834781.5217,0,0,8787.173913,8787.173913,0,0,0,0,0,8787.173913,0,17574.34783,0,0,61510.21739
"FJ2018042",181197.5862,0,34845.68966,0,146351.8966,0,0,0,0,0,97567.93103,20907.41379,13938.27586,0,6969.137931,0,41814.82759,0,0,299672.931,0,0,0,0,0,1170815.172,0,0,0,0,0,13938.27586,27876.55172,0,0,0,27876.55172,0,0,62722.24138,0,0,0,0,0,0,0,0,0,0,0,0,0,27876.55172,69691.37931,0,0,0,0,6969.137931,0,0,0,0,0,0,41814.82759,41814.82759,6969.137931,0,0,0,0,13938.27586,0,0,0,0,20907.41379,0,0,20907.41379,0,0,0,27876.55172,0,0,0,0,0,0,0,348456.8966,0,0,20907.41379,13938.27586,111506.2069,0,0,0,0,13938.27586,0,13938.27586,0,0,41814.82759
"FJ2018043",279097.381,0,19248.09524,0,57744.28571,0,0,19248.09524,0,9624.047619,153984.7619,9624.047619,19248.09524,0,0,0,67368.33333,0,0,250225.2381,0,0,0,0,0,1597591.905,0,19248.09524,0,9624.047619,0,19248.09524,28872.14286,0,9624.047619,0,9624.047619,0,0,38496.19048,0,0,0,0,9624.047619,0,0,0,9624.047619,0,0,0,0,28872.14286,144360.7143,0,0,9624.047619,0,38496.19048,0,0,0,0,0,0,19248.09524,67368.33333,0,9624.047619,0,0,19248.09524,19248.09524,0,0,0,0,0,0,0,0,0,0,0,9624.047619,9624.047619,0,0,0,0,0,0,885412.381,0,0,57744.28571,19248.09524,48120.2381,9624.047619,0,0,9624.047619,9624.047619,0,9624.047619,9624.047619,0,28872.14286
"FJ2018045",85371.93966,0,5226.853448,0,27876.55172,0,0,3484.568966,0,0,1742.284483,0,3484.568966,0,0,0,0,0,0,24391.98276,0,0,0,0,0,189909.0086,0,3484.568966,0,0,1742.284483,24391.98276,1742.284483,0,5226.853448,1742.284483,6969.137931,0,0,1742.284483,0,0,0,0,0,0,0,0,0,0,0,0,0,10453.7069,0,0,0,5226.853448,0,1742.284483,0,0,0,0,0,0,5226.853448,13938.27586,0,1742.284483,0,1742.284483,0,1742.284483,1742.284483,0,0,0,0,0,0,1742.284483,0,0,6969.137931,10453.7069,1742.284483,6969.137931,0,0,0,0,0,76660.51724,0,0,5226.853448,0,5226.853448,0,0,1742.284483,1742.284483,0,0,3484.568966,0,0,12195.99138
"FJ2018046",670137.6316,0,0,0,63822.63158,0,0,10637.10526,0,0,31911.31579,0,0,0,0,0,0,0,0,42548.42105,0,0,0,0,0,436121.3158,0,0,10637.10526,0,0,31911.31579,0,0,0,0,10637.10526,0,0,10637.10526,0,0,0,0,0,0,0,0,0,0,0,0,0,21274.21053,0,0,0,0,0,10637.10526,0,0,0,0,0,0,0,42548.42105,0,0,0,0,0,0,0,0,0,0,0,0,0,10637.10526,0,0,0,10637.10526,0,0,0,0,0,0,0,329750.2632,0,0,21274.21053,0,0,0,0,0,21274.21053,10637.10526,0,0,0,0,117008.1579
"FJ2018047",1616840,0,75789.375,0,75789.375,0,0,0,0,0,50526.25,0,0,0,0,0,0,25263.125,0,884209.375,0,0,0,0,0,1061051.25,0,0,0,0,50526.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25263.125,50526.25,0,0,0,0,0,0,0,0,0,0,0,25263.125,50526.25,0,0,0,0,50526.25,0,0,0,0,0,25263.125,0,0,0,25263.125,0,0,50526.25,0,0,0,0,0,25263.125,0,1061051.25,0,0,25263.125,0,0,0,0,0,0,0,0,0,0,0,50526.25
"FJ2018062",237770.5882,0,0,0,23777.05882,0,0,23777.05882,0,0,23777.05882,0,0,0,0,0,0,0,0,35665.58824,0,0,0,0,0,725200.2941,0,23777.05882,11888.52941,47554.11765,0,47554.11765,0,0,0,0,11888.52941,0,0,11888.52941,0,0,0,0,0,0,0,0,0,0,0,0,0,35665.58824,0,0,0,35665.58824,0,0,0,0,0,0,0,0,0,106996.7647,0,0,11888.52941,0,59442.64706,47554.11765,11888.52941,0,0,0,11888.52941,0,0,11888.52941,0,0,11888.52941,35665.58824,0,0,0,0,0,0,0,475541.1765,11888.52941,0,0,0,0,0,0,0,0,23777.05882,0,0,0,0,71331.17647
"FJ2018063",261987.963,0,74853.7037,0,67368.33333,0,0,0,0,0,52397.59259,0,0,0,0,0,22456.11111,0,0,134736.6667,0,0,0,7485.37037,0,1235086.111,0,0,7485.37037,14970.74074,0,29941.48148,0,0,14970.74074,0,7485.37037,0,0,59882.96296,0,0,0,0,0,0,0,0,0,0,0,0,0,14970.74074,0,0,0,7485.37037,0,0,0,0,7485.37037,0,0,0,7485.37037,67368.33333,0,0,0,0,29941.48148,104795.1852,0,0,0,0,0,0,0,0,0,0,7485.37037,44912.22222,0,14970.74074,0,0,0,7485.37037,0,209590.3704,0,0,0,0,14970.74074,0,0,0,14970.74074,0,0,7485.37037,0,0,209590.3704
"FJ2018065",574736.0938,0,37894.6875,0,69473.59375,6315.78125,0,6315.78125,0,0,50526.25,0,0,0,0,0,0,0,0,44210.46875,0,0,0,0,0,745262.1875,0,0,6315.78125,6315.78125,0,50526.25,0,0,6315.78125,0,0,0,0,12631.5625,0,0,0,0,0,0,0,6315.78125,0,0,0,0,0,18947.34375,0,0,0,25263.125,0,0,0,0,0,0,0,0,0,88420.9375,0,0,0,0,0,6315.78125,0,0,0,6315.78125,6315.78125,12631.5625,0,0,0,0,12631.5625,18947.34375,0,0,25263.125,6315.78125,0,0,0,31578.90625,0,0,0,0,0,0,0,0,6315.78125,0,0,6315.78125,0,0,56842.03125
"FJ2018066",220818.4259,0,7485.37037,0,127251.2963,0,0,0,0,0,18713.42593,0,0,0,0,0,3742.685185,0,0,71111.01852,7485.37037,0,0,0,0,565145.463,0,22456.11111,0,0,0,63625.64815,0,0,11228.05556,0,11228.05556,0,0,22456.11111,0,0,0,0,7485.37037,0,0,0,0,0,0,0,0,14970.74074,7485.37037,0,0,3742.685185,0,0,0,0,0,0,0,0,0,18713.42593,0,0,0,0,3742.685185,14970.74074,0,0,0,18713.42593,3742.685185,3742.685185,3742.685185,0,0,0,3742.685185,0,0,0,0,0,0,0,0,3742.685185,0,0,7485.37037,0,0,0,0,0,0,0,0,26198.7963,0,0,29941.48148
"FJ2018067",1639296.111,0,22456.11111,0,336841.6667,0,22456.11111,0,0,0,202105,0,0,0,0,0,67368.33333,0,0,696139.4444,0,0,0,44912.22222,0,2200698.889,0,0,0,22456.11111,0,359297.7778,0,0,0,67368.33333,0,0,0,89824.44444,0,0,0,44912.22222,0,0,0,0,0,0,0,0,0,202105,0,0,0,0,0,0,22456.11111,0,0,0,0,0,0,202105,0,0,0,0,0,89824.44444,0,0,0,0,112280.5556,22456.11111,0,0,0,0,0,112280.5556,0,0,0,0,0,0,0,291929.4444,0,0,0,0,0,0,0,0,0,0,0,112280.5556,0,0,179648.8889
"FJ2018068",885412.381,0,28872.14286,0,57744.28571,0,0,0,0,0,9624.047619,0,0,0,0,0,0,0,0,211729.0476,0,0,0,0,0,760299.7619,0,0,0,0,0,9624.047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19248.09524,0,0,0,0,0,0,0,0,0,0,9624.047619,0,0,76992.38095,0,0,0,0,0,0,0,0,0,28872.14286,0,0,0,0,0,0,0,19248.09524,0,0,0,0,0,0,0,57744.28571,9624.047619,0,0,9624.047619,0,0,0,0,0,0,0,0,0,0,28872.14286
"FJ2018070",734927.2727,0,45932.95455,0,91865.90909,0,0,9186.590909,0,0,128612.2727,0,18373.18182,0,0,0,9186.590909,0,0,174545.2273,0,0,0,0,0,900285.9091,0,18373.18182,27559.77273,0,18373.18182,18373.18182,0,0,0,0,0,0,0,0,0,0,0,36746.36364,0,0,0,0,9186.590909,0,0,0,0,18373.18182,0,0,0,18373.18182,0,0,0,0,0,0,0,0,0,64306.13636,0,0,0,0,18373.18182,9186.590909,0,0,0,0,0,0,0,0,36746.36364,0,9186.590909,45932.95455,0,0,18373.18182,0,0,0,0,18373.18182,0,0,9186.590909,0,9186.590909,0,0,0,0,9186.590909,0,18373.18182,0,0,110239.0909
"FJ2018071",956630.3333,0,26947.33333,0,87578.83333,0,0,6736.833333,0,0,114526.1667,0,0,0,0,0,0,0,0,53894.66667,0,0,0,0,0,478315.1667,0,0,26947.33333,6736.833333,0,13473.66667,0,0,0,0,26947.33333,0,0,20210.5,0,0,0,6736.833333,0,0,0,0,0,0,0,0,0,80842,0,0,0,13473.66667,0,0,0,0,0,0,0,0,0,87578.83333,0,0,6736.833333,0,498525.6667,33684.16667,0,0,0,0,13473.66667,0,0,0,0,0,0,20210.5,0,0,60631.5,0,0,0,0,74105.16667,0,0,0,0,13473.66667,0,0,0,6736.833333,13473.66667,0,0,0,0,33684.16667
"FJ2018073",505262.5,0,7773.269231,0,194331.7308,7773.269231,0,0,0,0,956112.1154,0,0,0,0,15546.53846,15546.53846,0,0,0,0,0,0,7773.269231,0,287610.9615,7773.269231,31093.07692,0,0,0,15546.53846,0,0,0,0,7773.269231,0,0,15546.53846,0,0,0,38866.34615,0,31093.07692,0,0,0,62186.15385,0,0,0,38866.34615,0,0,0,0,0,0,0,0,0,0,0,0,0,7773.269231,0,0,0,0,1329229.038,15546.53846,0,0,0,0,23319.80769,7773.269231,0,0,0,0,15546.53846,0,0,38866.34615,0,0,0,0,0,23319.80769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7773.269231
"FJ2018088",144360.7143,0,0,0,567818.8095,0,0,0,0,0,2107666.429,0,9624.047619,0,0,0,19248.09524,0,0,0,19248.09524,0,0,0,0,779547.8571,48120.2381,28872.14286,0,9624.047619,9624.047619,0,0,0,0,0,38496.19048,0,9624.047619,48120.2381,0,0,0,0,0,0,0,9624.047619,28872.14286,0,0,0,0,57744.28571,0,0,0,28872.14286,0,0,0,0,0,0,0,0,0,57744.28571,0,0,0,0,28872.14286,461954.2857,0,0,0,9624.047619,19248.09524,38496.19048,0,0,0,0,0,19248.09524,0,0,0,0,0,0,0,9624.047619,0,0,19248.09524,0,0,0,0,0,0,0,0,9624.047619,0,0,0
"FJ2018089",34979.71154,0,27206.44231,0,369230.2885,0,0,0,0,0,524695.6731,0,0,0,0,0,0,0,0,7773.269231,0,0,0,0,0,509149.1346,0,3886.634615,0,0,11659.90385,3886.634615,3886.634615,0,0,0,0,0,0,3886.634615,0,0,0,0,31093.07692,11659.90385,0,19433.17308,0,3886.634615,0,0,0,58299.51923,0,0,0,0,0,0,0,0,0,0,0,0,0,42752.98077,0,0,0,3886.634615,62186.15385,38866.34615,0,0,0,0,3886.634615,7773.269231,0,3886.634615,0,0,0,23319.80769,0,15546.53846,0,0,0,0,0,15546.53846,0,0,0,0,0,0,0,0,0,0,3886.634615,3886.634615,0,0,23319.80769
